date,btc_etf_flow_musd
2024-01-11,655.3
2024-01-12,203.0
2024-01-15,0.0
2024-01-16,-52.7
2024-01-17,453.8
2024-01-18,-126.6
2024-01-19,43.6
2024-01-22,-87.4
2024-01-23,-106.1
2024-01-24,-158.3
2024-01-25,-79.8
2024-01-26,14.8
2024-01-29,255.1
2024-01-30,247.3
2024-01-31,197.6
2024-02-01,38.5
2024-02-02,80.0
2024-02-05,68.1
2024-02-06,33.6
2024-02-07,146.0
2024-02-08,405.0
2024-02-09,541.5
2024-02-12,493.4
2024-02-13,636.3
2024-02-14,339.7
2024-02-15,477.4
2024-02-16,330.3
2024-02-19,0.0
2024-02-20,135.6
2024-02-21,-35.6
2024-02-22,251.4
2024-02-23,232.5
2024-02-26,519.9
2024-02-27,576.9
2024-02-28,673.4
2024-02-29,92.3
2024-03-01,-139.6
2024-03-04,562.7
2024-03-05,648.3
2024-03-06,332.0
2024-03-07,472.5
2024-03-08,223.0
2024-03-11,505.4
2024-03-12,1045.0
2024-03-13,683.7
2024-03-14,132.7
2024-03-15,198.8
2024-03-18,-154.3
2024-03-19,-326.2
2024-03-20,-261.5
2024-03-21,-94.0
2024-03-22,-51.6
2024-03-25,15.4
2024-03-26,418.0
2024-03-27,243.5
2024-03-28,182.8
2024-03-29,0.0
2024-04-01,-85.7
2024-04-02,39.5
2024-04-03,113.5
2024-04-04,213.4
2024-04-05,203.0
2024-04-08,-223.8
2024-04-09,-19.4
2024-04-10,123.7
2024-04-11,91.3
2024-04-12,-55.1
2024-04-15,-36.7
2024-04-16,-58.0
2024-04-17,-165.0
2024-04-18,-4.3
2024-04-19,59.7
2024-04-22,62.2
2024-04-23,31.6
2024-04-24,-120.6
2024-04-25,-217.6
2024-04-26,-83.6
2024-04-29,-51.6
2024-04-30,-161.6
2024-05-01,-563.7
2024-05-02,-34.4
2024-05-03,378.3
2024-05-06,217.0
2024-05-07,-15.7
2024-05-08,11.5
2024-05-09,-11.3
2024-05-10,-84.7
2024-05-13,66.0
2024-05-14,100.5
2024-05-15,303.0
2024-05-16,257.3
2024-05-17,221.5
2024-05-20,237.2
2024-05-21,305.7
2024-05-22,154.0
2024-05-23,107.9
2024-05-24,251.9
2024-05-27,0.0
2024-05-28,45.0
2024-05-29,28.3
2024-05-30,48.8
2024-05-31,48.8
2024-06-03,105.1
2024-06-04,886.6
2024-06-05,488.1
2024-06-06,217.7
2024-06-07,131.0
2024-06-10,-64.9
2024-06-11,-200.4
2024-06-12,100.8
2024-06-13,-226.2
2024-06-14,-189.9
2024-06-17,-145.9
2024-06-18,-152.4
2024-06-19,0.0
2024-06-20,-139.9
2024-06-21,-105.9
2024-06-24,-174.5
2024-06-25,31.0
2024-06-26,21.4
2024-06-27,11.8
2024-06-28,73.0
2024-07-01,129.5
2024-07-02,-13.7
2024-07-03,-20.5
2024-07-04,0.0
2024-07-05,143.1
2024-07-08,294.8
2024-07-09,216.4
2024-07-10,147.4
2024-07-11,78.9
2024-07-12,310.1
2024-07-15,300.9
2024-07-16,422.5
2024-07-17,53.3
2024-07-18,37.2
2024-07-19,427.2
2024-07-22,485.9
2024-07-23,-78.0
2024-07-24,44.5
2024-07-25,31.1
2024-07-26,51.8
2024-07-29,124.1
2024-07-30,-18.3
2024-07-31,0.3
2024-08-01,50.6
2024-08-02,-237.4
2024-08-05,-168.4
2024-08-06,-148.6
2024-08-07,45.1
2024-08-08,194.6
2024-08-09,-89.7
2024-08-12,27.8
2024-08-13,39.0
2024-08-14,-81.4
2024-08-15,11.1
2024-08-16,35.9
2024-08-19,62.1
2024-08-20,88.0
2024-08-21,39.5
2024-08-22,64.8
2024-08-23,252.0
2024-08-26,202.6
2024-08-27,-127.1
2024-08-28,-105.3
2024-08-29,-71.8
2024-08-30,-175.6
2024-09-02,0.0
2024-09-03,-287.8
