underlying,run_id,track,leg_planner_pnl,nautilus_pnl,n_legs,error
BTC,BTC-0000,opt_delta,534684.4732022672,534684.4732224973,3,
BTC,BTC-0000,opt_budget,290688.6183663075,290688.61838292016,3,
BTC,BTC-0001,opt_delta,0.0,,0,
BTC,BTC-0001,opt_budget,0.0,,0,
BTC,BTC-0002,opt_delta,0.0,,0,
BTC,BTC-0002,opt_budget,0.0,,0,
BTC,BTC-0003,opt_delta,140522.30514943707,140522.305139274,2,
BTC,BTC-0003,opt_budget,59710.30476919141,59710.304773398864,2,
BTC,BTC-0004,opt_delta,-52579.51854572903,-52579.51854135696,1,
BTC,BTC-0004,opt_budget,-23817.271143820744,-23817.271137447642,1,
BTC,BTC-0005,opt_delta,-39878.381002909126,-39878.38101216387,1,
BTC,BTC-0005,opt_budget,-25906.684167831558,-25906.684170597262,1,
BTC,BTC-0006,opt_delta,-67230.52871827048,-67230.52872087694,1,
BTC,BTC-0006,opt_budget,-35343.47740128054,-35343.47740035185,1,
BTC,BTC-0007,opt_delta,0.0,,0,
BTC,BTC-0007,opt_budget,0.0,,0,
BTC,BTC-0008,opt_delta,-11256.912650149114,-11256.912645468381,1,
BTC,BTC-0008,opt_budget,-9686.403043966866,-9686.403042320442,1,
BTC,BTC-0009,opt_delta,144234.36774450395,144234.3677400467,2,
BTC,BTC-0009,opt_budget,72041.6354207191,72041.63541959942,2,
BTC,BTC-0010,opt_delta,13401.13906583251,13401.139062616669,2,
BTC,BTC-0010,opt_budget,4136.167161360037,4136.167167772965,2,
BTC,BTC-0011,opt_delta,137764.41386592243,137764.41387263726,2,
BTC,BTC-0011,opt_budget,102970.56895064177,102970.5689547905,2,
BTC,BTC-0012,opt_delta,0.0,,0,
BTC,BTC-0012,opt_budget,0.0,,0,
BTC,BTC-0013,opt_delta,-49221.40402377287,-49221.4040136228,1,
BTC,BTC-0013,opt_budget,-36599.45671037626,-36599.45670224357,1,
BTC,BTC-0014,opt_delta,-82175.17214820933,-82175.17215330408,1,
BTC,BTC-0014,opt_budget,-36934.831536744394,-36934.83154061932,1,
BTC,BTC-0015,opt_delta,88143.45522656698,88143.45521073257,2,
BTC,BTC-0015,opt_budget,67950.30072068675,67950.30072237836,2,
BTC,BTC-0016,opt_delta,28540.788075619683,28540.788055897057,1,
BTC,BTC-0016,opt_budget,14214.449945615088,14214.44993490021,1,
BTC,BTC-0017,opt_delta,133.07237890494952,133.0723789672175,1,
BTC,BTC-0017,opt_budget,73.84844604348714,73.84844808011024,1,
BTC,BTC-0018,opt_delta,94446.56568408123,94446.5656588144,2,
BTC,BTC-0018,opt_budget,48466.456274071585,48466.4562517528,2,
BTC,BTC-0019,opt_delta,-44877.819612956206,-44877.819615885346,1,
BTC,BTC-0019,opt_budget,-43233.23892724425,-43233.2389289013,1,
BTC,BTC-0020,opt_delta,-49432.23048778162,-49432.23048748803,1,
BTC,BTC-0020,opt_budget,-32841.161649360656,-32841.16165277545,1,
BTC,BTC-0021,opt_delta,-42807.51031196225,-42807.51031102276,1,
BTC,BTC-0021,opt_budget,-32850.88818407533,-32850.88818010216,1,
BTC,BTC-0022,opt_delta,0.0,,0,
BTC,BTC-0022,opt_budget,0.0,,0,
BTC,BTC-0023,opt_delta,-32750.079490737415,-32750.07950169269,1,
BTC,BTC-0023,opt_budget,-19724.74367390105,-19724.7436842287,1,
BTC,BTC-0024,opt_delta,-10188.186390078707,-10188.18639433356,1,
BTC,BTC-0024,opt_budget,-6088.135270811745,-6088.135269831356,1,
BTC,BTC-0025,opt_delta,-13010.95793323989,-13010.957929819473,1,
BTC,BTC-0025,opt_budget,-12007.32091767534,-12007.320917609713,1,
BTC,BTC-0026,opt_delta,221053.59673438434,221053.59672548837,2,
BTC,BTC-0026,opt_budget,236943.3486824004,236943.34868222117,2,
BTC,BTC-0027,opt_delta,-35082.030749055935,-35082.030746059834,1,
BTC,BTC-0027,opt_budget,-24997.11179556198,-24997.11179468172,1,
BTC,BTC-0028,opt_delta,340339.80080991925,340339.8008203958,2,
BTC,BTC-0028,opt_budget,280866.36778712564,280866.3677972649,2,
BTC,BTC-0029,opt_delta,-35081.418705828095,-35081.418691302075,1,
BTC,BTC-0029,opt_budget,-22345.181258949822,-22345.181251280923,1,
BTC,BTC-0030,opt_delta,0.0,,0,
BTC,BTC-0030,opt_budget,0.0,,0,
BTC,BTC-0031,opt_delta,-65683.18371528258,-65683.18370809079,1,
BTC,BTC-0031,opt_budget,-49179.80867802708,-49179.80867530089,1,
BTC,BTC-0032,opt_delta,-36956.118792519555,-36956.11876621059,1,
BTC,BTC-0032,opt_budget,-18551.66573409179,-18551.665718941436,1,
BTC,BTC-0033,opt_delta,-52593.24482729074,-52593.24481318645,1,
BTC,BTC-0033,opt_budget,-37108.12800929899,-37108.12799846957,1,
BTC,BTC-0034,opt_delta,-45699.792102338564,-45699.792143440434,1,
BTC,BTC-0034,opt_budget,-36755.97799361951,-36755.978023255906,1,
BTC,BTC-0035,opt_delta,-44627.528792186116,-44627.52882193941,1,
BTC,BTC-0035,opt_budget,-40964.619264147455,-40964.619289497765,1,
BTC,BTC-0036,opt_delta,-117900.95205922375,-117900.95204318891,2,
BTC,BTC-0036,opt_budget,-75524.6619937454,-75524.66197167707,2,
BTC,BTC-0037,opt_delta,-16336.004474861726,-16336.004502938371,1,
BTC,BTC-0037,opt_budget,-27379.788800171573,-27379.78884845227,1,
BTC,BTC-0038,opt_delta,-56377.67671407235,-56377.676735657726,1,
BTC,BTC-0038,opt_budget,-48064.27540923246,-48064.27542479279,1,
BTC,BTC-0039,opt_delta,189084.43874854036,189084.4387409744,2,
BTC,BTC-0039,opt_budget,222577.6788680162,222577.67885842075,2,
BTC,BTC-0040,opt_delta,0.0,,0,
BTC,BTC-0040,opt_budget,0.0,,0,
BTC,BTC-0041,opt_delta,-48636.3806161969,-48636.38063972135,1,
BTC,BTC-0041,opt_budget,-46582.69900752416,-46582.69903119415,1,
BTC,BTC-0042,opt_delta,-26811.83187781201,-26811.83185749747,1,
BTC,BTC-0042,opt_budget,-23484.71146798191,-23484.711451071857,1,
BTC,BTC-0043,opt_delta,25681.97098868066,25681.971016683776,2,
BTC,BTC-0043,opt_budget,36889.03330743614,36889.03333757781,2,
BTC,BTC-0044,opt_delta,-15820.780467473558,-15820.780435453904,1,
BTC,BTC-0044,opt_budget,-16138.505146024074,-16138.50511548457,1,
BTC,BTC-0045,opt_delta,0.0,,0,
BTC,BTC-0045,opt_budget,0.0,,0,
BTC,BTC-0046,opt_delta,-22125.362896337338,-22125.36289112626,1,
BTC,BTC-0046,opt_budget,-30840.65832270634,-30840.658310105173,1,
BTC,BTC-0047,opt_delta,-31527.85687452908,-31527.856881954758,1,
BTC,BTC-0047,opt_budget,-33033.978827691906,-33033.978836590075,1,
BTC,BTC-0048,opt_delta,-7159.242777305376,-7159.242787507054,1,
BTC,BTC-0048,opt_budget,-8926.353598194586,-8926.353607956684,1,
BTC,BTC-0049,opt_delta,7408.638902944651,7408.638891923256,1,
BTC,BTC-0049,opt_budget,9227.343799172697,9227.34378784753,1,
BTC,BTC-0050,opt_delta,0.0,,0,
BTC,BTC-0050,opt_budget,0.0,,0,
BTC,BTC-0051,opt_delta,-40524.694237031144,-40524.69423990596,1,
BTC,BTC-0051,opt_budget,-28476.446532237464,-28476.446537390922,1,
BTC,BTC-0052,opt_delta,-13307.068855825302,-13307.068864508537,1,
BTC,BTC-0052,opt_budget,-20889.07145236156,-20889.071463632208,1,
BTC,BTC-0053,opt_delta,-14642.165923804794,-14642.16591753993,1,
BTC,BTC-0053,opt_budget,-16131.680613285573,-16131.680604311294,1,
BTC,BTC-0054,opt_delta,4046.1861080537947,4046.1860725203646,1,
BTC,BTC-0054,opt_budget,10566.04783284802,10566.047743557754,1,
BTC,BTC-0055,opt_delta,52248.20937517301,52248.20937619373,2,
BTC,BTC-0055,opt_budget,83209.94667185417,83209.94667402373,2,
BTC,BTC-0056,opt_delta,6304.54814501998,6304.5481616699035,1,
BTC,BTC-0056,opt_budget,11157.890201426391,11157.890238860782,1,
BTC,BTC-0057,opt_delta,0.0,,0,
BTC,BTC-0057,opt_budget,0.0,,0,
BTC,BTC-0058,opt_delta,-14665.190665107373,-14665.190677541146,1,
BTC,BTC-0058,opt_budget,-18789.717715723124,-18789.717734628844,1,
BTC,BTC-0059,opt_delta,-7842.329017981188,-7842.329025389774,1,
BTC,BTC-0059,opt_budget,-9967.046195594452,-9967.046208854497,1,
BTC,BTC-0060,opt_delta,179069.19177572176,179069.19176335496,3,
BTC,BTC-0060,opt_budget,166775.56663118995,166775.56661989563,3,
BTC,BTC-0061,opt_delta,-20227.166019245065,-20227.165998572968,1,
BTC,BTC-0061,opt_budget,-31053.273605170274,-31053.273577658027,1,
BTC,BTC-0062,opt_delta,469869.6001936028,469869.60020232544,3,
BTC,BTC-0062,opt_budget,429747.0055680432,429747.0055789799,3,
BTC,BTC-0063,opt_delta,-34304.536650623246,-34304.536641596205,1,
BTC,BTC-0063,opt_budget,-25597.0528723115,-25597.052863919216,1,
BTC,BTC-0064,opt_delta,-39591.254544719806,-39591.25454158869,1,
BTC,BTC-0064,opt_budget,-28707.963815721323,-28707.963817924687,1,
BTC,BTC-0065,opt_delta,-7127.777236393864,-7127.777233008158,1,
BTC,BTC-0065,opt_budget,-3980.940726911791,-3980.9407348624773,1,
BTC,BTC-0066,opt_delta,-26090.849099648436,-26090.849085207145,1,
BTC,BTC-0066,opt_budget,-25520.267711122804,-25520.26769972624,1,
BTC,BTC-0067,opt_delta,-19184.0240211616,-19184.024020324527,2,
BTC,BTC-0067,opt_budget,-17046.806805253393,-17046.80680620121,2,
BTC,BTC-0068,opt_delta,0.0,,0,
BTC,BTC-0068,opt_budget,0.0,,0,
BTC,BTC-0069,opt_delta,-7837.154536445712,-7837.1545329461605,1,
BTC,BTC-0069,opt_budget,-6686.612823762378,-6686.612831500995,1,
BTC,BTC-0070,opt_delta,-18981.165697917102,-18981.165694580075,1,
BTC,BTC-0070,opt_budget,-20635.932973079256,-20635.932964412386,1,
BTC,BTC-0071,opt_delta,-59700.280884653985,-59700.280877317375,1,
BTC,BTC-0071,opt_budget,-47967.3176934504,-47967.317685633716,1,
BTC,BTC-0072,opt_delta,-38541.07022258807,-38541.070231929036,1,
BTC,BTC-0072,opt_budget,-34102.50330364158,-34102.50329940786,1,
BTC,BTC-0073,opt_delta,-25862.02460576146,-25862.02460201919,1,
BTC,BTC-0073,opt_budget,-26654.444139677234,-26654.44413121929,1,
BTC,BTC-0074,opt_delta,0.0,,0,
BTC,BTC-0074,opt_budget,0.0,,0,
BTC,BTC-0075,opt_delta,-22588.050398350322,-22588.05039347898,1,
BTC,BTC-0075,opt_budget,-17091.284800890437,-17091.284804689367,1,
BTC,BTC-0076,opt_delta,-26416.500198094756,-26416.500203028787,1,
BTC,BTC-0076,opt_budget,-18248.29824189738,-18248.29824744723,1,
BTC,BTC-0077,opt_delta,480398.46557874646,480398.46555266867,3,
BTC,BTC-0077,opt_budget,510992.9653726435,510992.9653724974,3,
BTC,BTC-0078,opt_delta,0.0,,0,
BTC,BTC-0078,opt_budget,0.0,,0,
BTC,BTC-0079,opt_delta,-16888.84950045487,-16888.849504539437,1,
BTC,BTC-0079,opt_budget,-12020.932693605218,-12020.932689312685,1,
BTC,BTC-0080,opt_delta,-13464.179143223275,-13464.179130904651,1,
BTC,BTC-0080,opt_budget,-9746.449720359204,-9746.449710541008,1,
BTC,BTC-0081,opt_delta,-22280.167713859562,-22280.167707677567,1,
BTC,BTC-0081,opt_budget,-16425.376177625338,-16425.376186831858,1,
BTC,BTC-0082,opt_delta,-5687.703673415728,-5687.703669109532,1,
BTC,BTC-0082,opt_budget,-6874.279073647645,-6874.279076113183,1,
BTC,BTC-0083,opt_delta,-40593.19745033459,-40593.19744623581,1,
BTC,BTC-0083,opt_budget,-36156.80083305368,-36156.80082391554,1,
BTC,BTC-0084,opt_delta,22535.82697386006,22535.826968485744,3,
BTC,BTC-0084,opt_budget,22078.2134933942,22078.21347670977,3,
BTC,BTC-0085,opt_delta,5287.0069336563065,5287.006920277492,1,
BTC,BTC-0085,opt_budget,5225.553808374674,5225.553792986605,1,
BTC,BTC-0086,opt_delta,-16260.250684976381,-16260.2506816109,1,
BTC,BTC-0086,opt_budget,-17646.994022101855,-17646.994021611023,1,
BTC,BTC-0087,opt_delta,128845.35198516531,128845.3519854368,2,
BTC,BTC-0087,opt_budget,94898.43010205512,94898.4300870789,2,
BTC,BTC-0088,opt_delta,-8417.594392617695,-8417.594372704736,1,
BTC,BTC-0088,opt_budget,-7002.523375852143,-7002.52337503113,1,
BTC,BTC-0089,opt_delta,-19144.505036138784,-19144.505049810312,1,
BTC,BTC-0089,opt_budget,-20325.191945832823,-20325.191950002805,1,
BTC,BTC-0090,opt_delta,24464.946400620865,24464.946376334152,2,
BTC,BTC-0090,opt_budget,27713.997419098232,27713.99739837584,2,
BTC,BTC-0091,opt_delta,-3224.2255517630256,-3224.225568830035,1,
BTC,BTC-0091,opt_budget,-6073.1485780567455,-6073.148608726941,1,
BTC,BTC-0092,opt_delta,0.0,,0,
BTC,BTC-0092,opt_budget,0.0,,0,
BTC,BTC-0093,opt_delta,4756.950622197037,4756.950624650839,1,
BTC,BTC-0093,opt_budget,7501.722597419157,7501.722588427586,1,
BTC,BTC-0094,opt_delta,0.0,,0,
BTC,BTC-0094,opt_budget,0.0,,0,
BTC,BTC-0095,opt_delta,0.0,,0,
BTC,BTC-0095,opt_budget,0.0,,0,
BTC,BTC-0096,opt_delta,-21295.586656240535,-21295.586650565176,1,
BTC,BTC-0096,opt_budget,-31582.549172079336,-31582.54918797641,1,
BTC,BTC-0097,opt_delta,-31167.04011669659,-31167.04010464655,1,
BTC,BTC-0097,opt_budget,-35118.90407870856,-35118.904073979196,1,
BTC,BTC-0098,opt_delta,-28792.013136177728,-28792.013143306285,1,
BTC,BTC-0098,opt_budget,-33868.90108104718,-33868.90108311307,1,
BTC,BTC-0099,opt_delta,98912.11921905956,98912.11921285906,3,
BTC,BTC-0099,opt_budget,79492.5986418585,79492.59862500092,3,
BTC,BTC-0100,opt_delta,-33478.0647993507,-33478.06477913802,1,
BTC,BTC-0100,opt_budget,-48552.518750877236,-48552.51873168223,1,
BTC,BTC-0101,opt_delta,144208.22993985756,144208.22995301423,2,
BTC,BTC-0101,opt_budget,99346.31133686985,99346.31135468448,2,
BTC,BTC-0102,opt_delta,-19178.289061391843,-19178.289059240124,1,
BTC,BTC-0102,opt_budget,-17438.086157341655,-17438.086149051658,1,
BTC,BTC-0103,opt_delta,-27707.10007559852,-27707.10007739768,1,
BTC,BTC-0103,opt_budget,-24095.340248290326,-24095.3402382474,1,
BTC,BTC-0104,opt_delta,-28800.59458671763,-28800.59459652891,1,
BTC,BTC-0104,opt_budget,-21917.68806305414,-21917.6880664152,1,
BTC,BTC-0105,opt_delta,-23004.193871339867,-23004.19386462333,1,
BTC,BTC-0105,opt_budget,-23349.358932061514,-23349.35894063472,1,
BTC,BTC-0106,opt_delta,0.0,,0,
BTC,BTC-0106,opt_budget,0.0,,0,
BTC,BTC-0107,opt_delta,15430.722107868729,15430.722110000235,2,
BTC,BTC-0107,opt_budget,17192.467378476133,17192.467376638335,2,
BTC,BTC-0108,opt_delta,-8578.921860184822,-8578.921849975446,1,
BTC,BTC-0108,opt_budget,-10454.976644981409,-10454.97664709777,1,
BTC,BTC-0109,opt_delta,191392.49394124962,191392.49393667572,1,
BTC,BTC-0109,opt_budget,242966.00322570253,242966.0032276317,1,
SOL_USDC,SOL_USDC-0074,opt_delta,0.0,,0,
