underlying,run_id,track,dir,days,n_legs,pnl_parity,pnl_native
BTC,BTC-0000,opt_delta,1,70,3,530780.6271477478,530240.4764038777
BTC,BTC-0000,opt_budget,1,70,3,287296.0699533209,287111.2284407409
BTC,BTC-0001,opt_delta,1,1,0,0.0,0.0
BTC,BTC-0001,opt_budget,1,1,0,0.0,0.0
BTC,BTC-0002,opt_delta,1,1,0,0.0,0.0
BTC,BTC-0002,opt_budget,1,1,0,0.0,0.0
BTC,BTC-0003,opt_delta,1,30,2,138191.66368769974,137817.99983895972
BTC,BTC-0003,opt_budget,1,30,2,58529.58798384408,58406.56761375408
BTC,BTC-0004,opt_delta,1,24,1,-53605.06807291264,-53865.76397014264
BTC,BTC-0004,opt_budget,1,24,1,-24135.486850477184,-24252.864229567185
BTC,BTC-0005,opt_delta,1,22,1,-40574.914879193755,-40948.921333513754
BTC,BTC-0005,opt_budget,1,22,1,-26200.32904681638,-26441.83520957638
BTC,BTC-0006,opt_delta,-1,8,1,-67980.6143011831,-68403.96438420311
BTC,BTC-0006,opt_budget,-1,8,1,-35522.4286902217,-35743.6450407217
BTC,BTC-0007,opt_delta,-1,1,0,0.0,0.0
BTC,BTC-0007,opt_budget,-1,1,0,0.0,0.0
BTC,BTC-0008,opt_delta,1,4,1,-11898.858780518241,-12237.499797038241
BTC,BTC-0008,opt_budget,1,4,1,-10177.084168720445,-10466.723563140447
BTC,BTC-0009,opt_delta,-1,32,2,143163.25826050906,142845.70641849906
BTC,BTC-0009,opt_budget,-1,32,2,70891.27512249499,70643.420067815
BTC,BTC-0010,opt_delta,-1,38,2,12269.49148102144,11976.526502771449
BTC,BTC-0010,opt_budget,-1,38,2,3378.38833558845,3176.474639118449
BTC,BTC-0011,opt_delta,1,43,2,136367.67190750127,136022.59775202128
BTC,BTC-0011,opt_budget,1,43,2,101592.57718102846,101426.59870963846
BTC,BTC-0012,opt_delta,1,1,0,0.0,0.0
BTC,BTC-0012,opt_budget,1,1,0,0.0,0.0
BTC,BTC-0013,opt_delta,1,6,1,-49741.69495596696,-50028.491348946955
BTC,BTC-0013,opt_budget,1,6,1,-36763.43109853403,-36975.39853365403
BTC,BTC-0014,opt_delta,-1,10,1,-83030.1252575677,-83429.3505102077
BTC,BTC-0014,opt_budget,-1,10,1,-37094.19998755648,-37272.55623257648
BTC,BTC-0015,opt_delta,1,43,2,86843.01286439227,86484.68208496227
BTC,BTC-0015,opt_budget,1,43,2,66830.98742257878,66655.68518869879
BTC,BTC-0016,opt_delta,-1,34,1,27138.256757965843,26785.645041375836
BTC,BTC-0016,opt_budget,-1,34,1,13434.479992963474,13259.923645163477
BTC,BTC-0017,opt_delta,-1,2,1,-969.0200559916575,-1303.652273461661
BTC,BTC-0017,opt_budget,-1,2,1,-534.5163791744314,-719.1012044944334
BTC,BTC-0018,opt_delta,-1,39,2,93551.20981321804,93185.88126930804
BTC,BTC-0018,opt_budget,-1,39,2,47509.93948587845,47190.98760645845
BTC,BTC-0019,opt_delta,1,9,1,-45237.77131616548,-45554.97568871548
BTC,BTC-0019,opt_budget,1,9,1,-43317.366063234134,-43621.10467098413
