underlying,run_id,dir,spot_pnl
BTC,BTC-0000,1,441460.5745721272
BTC,BTC-0001,1,
BTC,BTC-0002,1,
BTC,BTC-0003,1,156678.67719745284
BTC,BTC-0004,1,28394.801573728768
BTC,BTC-0005,1,3576.910602950823
BTC,BTC-0006,-1,-65695.74725313799
BTC,BTC-0007,-1,
BTC,BTC-0008,1,-19692.900711623195
BTC,BTC-0009,-1,93741.11641870227
BTC,BTC-0010,-1,47963.49925632698
BTC,BTC-0011,1,90912.6904624488
BTC,BTC-0012,1,
BTC,BTC-0013,1,-56414.066573239885
BTC,BTC-0014,-1,-53613.00849145626
BTC,BTC-0015,1,82826.54988171949
BTC,BTC-0016,-1,66125.58421942289
BTC,BTC-0017,-1,-12.384112167576177
BTC,BTC-0018,-1,53608.520500190985
BTC,BTC-0019,1,-41449.398605561335
BTC,BTC-0020,-1,-84389.99222172414
BTC,BTC-0021,1,-39952.1251568382
BTC,BTC-0022,-1,-52161.72075404675
BTC,BTC-0023,-1,-31852.946779101887
BTC,BTC-0024,1,25751.922974799163
BTC,BTC-0025,-1,6597.868364703753
BTC,BTC-0026,-1,96235.5996954304
BTC,BTC-0027,-1,-16127.124277067287
BTC,BTC-0028,-1,126806.4347452192
BTC,BTC-0029,1,-40825.8834506084
BTC,BTC-0030,-1,
BTC,BTC-0031,1,-62658.99694787659
BTC,BTC-0032,-1,2631.533888869036
BTC,BTC-0033,-1,-4066.303956549977
BTC,BTC-0034,-1,-18547.155912563816
BTC,BTC-0035,1,-44073.410177270765
BTC,BTC-0036,-1,-7205.148608468808
BTC,BTC-0037,1,-21921.33490707876
BTC,BTC-0038,-1,-5718.356700009115
BTC,BTC-0039,1,119033.34323166328
BTC,BTC-0040,1,
BTC,BTC-0041,1,-41622.35024404918
BTC,BTC-0042,-1,-46341.19628824196
BTC,BTC-0043,1,43216.73509387861
BTC,BTC-0044,1,-24679.91038445332
BTC,BTC-0045,1,
BTC,BTC-0046,1,-32228.124761957937
BTC,BTC-0047,-1,-3228.085948572645
