underlying,run_id,track,dir,spot_pnl,mode_a_pnl,mode_a_legs,mode_b_pnl,mode_b_coverage_skip,mode_a_skip_reason
BTC,BTC-0000,opt_delta,1,441460.5745721272,534684.4732022672,3,557801.5253579397,False,
BTC,BTC-0000,opt_budget,1,441460.5745721272,290688.6183663075,3,298647.319237881,False,
BTC,BTC-0001,opt_delta,1,,0.0,0,0.0,False,insufficient_dates
BTC,BTC-0001,opt_budget,1,,0.0,0,0.0,False,insufficient_dates
BTC,BTC-0002,opt_delta,1,,0.0,0,0.0,False,insufficient_dates
BTC,BTC-0002,opt_budget,1,,0.0,0,0.0,False,insufficient_dates
BTC,BTC-0003,opt_delta,1,156678.67719745284,140522.30514943707,2,149049.3775007499,False,
BTC,BTC-0003,opt_budget,1,156678.67719745284,59710.30476919141,2,62534.67147582534,False,
BTC,BTC-0004,opt_delta,1,28394.801573728768,-52579.51854572903,1,-33428.033340211805,False,
BTC,BTC-0004,opt_budget,1,28394.801573728768,-23817.271143820744,1,-15142.103919724377,False,
BTC,BTC-0005,opt_delta,1,3576.910602950823,-39878.381002909126,1,-39006.868659573425,False,
BTC,BTC-0005,opt_budget,1,3576.910602950823,-25906.684167831558,1,-25340.51286249401,False,
BTC,BTC-0006,opt_delta,-1,-65695.74725313799,-67230.52871827048,1,-65352.48505383296,False,
BTC,BTC-0006,opt_budget,-1,-65695.74725313799,-35343.47740128054,1,-34356.17899565865,False,
BTC,BTC-0007,opt_delta,-1,,0.0,0,0.0,False,insufficient_dates
BTC,BTC-0007,opt_budget,-1,,0.0,0,0.0,False,insufficient_dates
BTC,BTC-0008,opt_delta,1,-19692.900711623195,-11256.912650149114,1,-9118.296051495448,False,
BTC,BTC-0008,opt_budget,1,-19692.900711623195,-9686.403043966866,1,-7846.155813230604,False,
BTC,BTC-0009,opt_delta,-1,93741.11641870227,144234.36774450395,2,0.0,True,
BTC,BTC-0009,opt_budget,-1,93741.11641870227,72041.6354207191,2,0.0,True,
BTC,BTC-0010,opt_delta,-1,47963.49925632698,13401.13906583251,2,0.0,True,
BTC,BTC-0010,opt_budget,-1,47963.49925632698,4136.167161360037,2,0.0,True,
BTC,BTC-0011,opt_delta,1,90912.6904624488,137764.41386592243,2,134475.5541033804,False,
BTC,BTC-0011,opt_budget,1,90912.6904624488,102970.56895064177,2,101379.05718671903,False,
BTC,BTC-0012,opt_delta,1,,0.0,0,0.0,False,insufficient_dates
BTC,BTC-0012,opt_budget,1,,0.0,0,0.0,False,insufficient_dates
BTC,BTC-0013,opt_delta,1,-56414.066573239885,-49221.40402377287,1,-49205.48166423436,False,
BTC,BTC-0013,opt_budget,1,-56414.066573239885,-36599.45671037626,1,-36587.61735470946,False,
BTC,BTC-0014,opt_delta,-1,-53613.00849145626,-82175.17214820933,1,-81142.1053728585,False,
