budget,dte_band,moneyness,spread_mult,h1_total,spot_total,h1_beats_spot
0.05,"(14, 30)",0.05,1.0,1705683.3648021305,1244140.7484327296,True
0.1,"(14, 30)",0.05,1.0,2233596.959628169,1244140.7484327296,True
0.15,"(14, 30)",0.05,1.0,2761510.5544542074,1244140.7484327296,True
0.05,"(14, 30)",0.05,2.0,1688691.9852466942,1244140.7484327296,True
0.1,"(14, 30)",0.05,2.0,2199614.200517297,1244140.7484327296,True
0.15,"(14, 30)",0.05,2.0,2710536.415787899,1244140.7484327296,True
0.05,"(14, 30)",0.05,3.0,1671904.1751998276,1244140.7484327296,True
0.1,"(14, 30)",0.05,3.0,2166038.5804235633,1244140.7484327296,True
0.15,"(14, 30)",0.05,3.0,2660172.985647299,1244140.7484327296,True
0.05,"(14, 30)",0.075,1.0,1849290.9162357291,1244140.7484327296,True
0.1,"(14, 30)",0.075,1.0,2520812.0624953667,1244140.7484327296,True
0.15,"(14, 30)",0.075,1.0,3192333.2087550033,1244140.7484327296,True
0.05,"(14, 30)",0.075,2.0,1831601.559438857,1244140.7484327296,True
0.1,"(14, 30)",0.075,2.0,2485433.348901622,1244140.7484327296,True
0.15,"(14, 30)",0.075,2.0,3139265.1383643867,1244140.7484327296,True
0.05,"(14, 30)",0.075,3.0,1814124.1344429492,1244140.7484327296,True
0.1,"(14, 30)",0.075,3.0,2450478.4989098064,1244140.7484327296,True
0.15,"(14, 30)",0.075,3.0,3086832.863376663,1244140.7484327296,True
0.05,"(14, 30)",0.1,1.0,1841219.8051455782,1244140.7484327296,True
0.1,"(14, 30)",0.1,1.0,2504669.8403150644,1244140.7484327296,True
0.15,"(14, 30)",0.1,1.0,3168119.8754845504,1244140.7484327296,True
0.05,"(14, 30)",0.1,2.0,1823712.1506562405,1244140.7484327296,True
0.1,"(14, 30)",0.1,2.0,2469654.531336389,1244140.7484327296,True
0.15,"(14, 30)",0.1,2.0,3115596.912016537,1244140.7484327296,True
0.05,"(14, 30)",0.1,3.0,1806414.2510375401,1244140.7484327296,True
0.1,"(14, 30)",0.1,3.0,2435058.7320989883,1244140.7484327296,True
0.15,"(14, 30)",0.1,3.0,3063703.213160436,1244140.7484327296,True
0.05,"(20, 40)",0.05,1.0,1407162.122394923,1244140.7484327296,True
0.1,"(20, 40)",0.05,1.0,1636554.4748137537,1244140.7484327296,True
0.15,"(20, 40)",0.05,1.0,1865946.8272325844,1244140.7484327296,True
0.05,"(20, 40)",0.05,2.0,1392039.8558466525,1244140.7484327296,True
0.1,"(20, 40)",0.05,2.0,1606309.941717213,1244140.7484327296,True
0.15,"(20, 40)",0.05,2.0,1820580.0275877733,1244140.7484327296,True
0.05,"(20, 40)",0.05,3.0,1377098.7654271154,1244140.7484327296,True
0.1,"(20, 40)",0.05,3.0,1576427.7608781385,1244140.7484327296,True
0.15,"(20, 40)",0.05,3.0,1775756.7563291616,1244140.7484327296,True
0.05,"(20, 40)",0.075,1.0,1370529.1758063636,1244140.7484327296,True
0.1,"(20, 40)",0.075,1.0,1563288.5816366354,1244140.7484327296,True
0.15,"(20, 40)",0.075,1.0,1756047.987466907,1244140.7484327296,True
0.05,"(20, 40)",0.075,2.0,1355764.3009354176,1244140.7484327296,True
0.1,"(20, 40)",0.075,2.0,1533758.8318947433,1244140.7484327296,True
0.15,"(20, 40)",0.075,2.0,1711753.3628540686,1244140.7484327296,True
0.05,"(20, 40)",0.075,3.0,1341176.3203720679,1244140.7484327296,True
0.1,"(20, 40)",0.075,3.0,1504582.870768044,1244140.7484327296,True
0.15,"(20, 40)",0.075,3.0,1667989.4211640197,1244140.7484327296,True
0.05,"(20, 40)",0.1,1.0,1536488.9623504756,1244140.7484327296,True
0.1,"(20, 40)",0.1,1.0,1895208.1547248594,1244140.7484327296,True
0.15,"(20, 40)",0.1,1.0,2253927.3470992427,1244140.7484327296,True
0.05,"(20, 40)",0.1,2.0,1520856.8178092916,1244140.7484327296,True
0.1,"(20, 40)",0.1,2.0,1863943.8656424915,1244140.7484327296,True
0.15,"(20, 40)",0.1,2.0,2207030.9134756913,1244140.7484327296,True
0.05,"(20, 40)",0.1,3.0,1505411.9581187437,1244140.7484327296,True
0.1,"(20, 40)",0.1,3.0,1833054.1462613957,1244140.7484327296,True
