start,end,dir,days
2020-11-12 16:00:00,2021-01-21 16:00:00,1.0,70
2021-01-22 16:00:00,2021-01-23 16:00:00,1.0,1
2021-01-25 16:00:00,2021-01-26 16:00:00,1.0,1
2021-01-29 16:00:00,2021-02-28 16:00:00,1.0,30
2021-03-01 16:00:00,2021-03-25 16:00:00,1.0,24
2021-03-27 16:00:00,2021-04-18 16:00:00,1.0,22
2021-04-22 16:00:00,2021-04-30 16:00:00,-1.0,8
2021-05-04 16:00:00,2021-05-05 16:00:00,-1.0,1
2021-05-07 16:00:00,2021-05-11 16:00:00,1.0,4
2021-05-13 16:00:00,2021-06-14 16:00:00,-1.0,32
2021-06-16 16:00:00,2021-07-24 16:00:00,-1.0,38
2021-07-26 16:00:00,2021-09-07 16:00:00,1.0,43
2021-09-09 16:00:00,2021-09-10 16:00:00,1.0,1
2021-09-14 16:00:00,2021-09-20 16:00:00,1.0,6
2021-09-21 16:00:00,2021-10-01 16:00:00,-1.0,10
2021-10-04 16:00:00,2021-11-16 16:00:00,1.0,43
2021-11-20 16:00:00,2021-12-24 16:00:00,-1.0,34
2021-12-25 16:00:00,2021-12-27 16:00:00,-1.0,2
2021-12-28 16:00:00,2022-02-05 16:00:00,-1.0,39
2022-02-09 16:00:00,2022-02-18 16:00:00,1.0,9
2022-02-20 16:00:00,2022-02-28 16:00:00,-1.0,8
2022-03-02 16:00:00,2022-03-04 16:00:00,1.0,2
2022-03-06 16:00:00,2022-03-09 16:00:00,-1.0,3
2022-03-10 16:00:00,2022-03-16 16:00:00,-1.0,6
2022-03-19 16:00:00,2022-04-07 16:00:00,1.0,19
2022-04-12 16:00:00,2022-04-21 16:00:00,-1.0,9
2022-04-22 16:00:00,2022-05-31 16:00:00,-1.0,39
2022-06-01 16:00:00,2022-06-06 16:00:00,-1.0,5
2022-06-07 16:00:00,2022-07-18 16:00:00,-1.0,41
2022-07-20 16:00:00,2022-07-25 16:00:00,1.0,5
2022-07-27 16:00:00,2022-07-28 16:00:00,-1.0,1
2022-07-28 16:00:00,2022-08-19 16:00:00,1.0,22
2022-08-20 16:00:00,2022-09-09 16:00:00,-1.0,20
2022-09-13 16:00:00,2022-10-04 16:00:00,-1.0,21
2022-10-07 16:00:00,2022-10-25 16:00:00,-1.0,18
2022-10-26 16:00:00,2022-11-08 16:00:00,1.0,13
2022-11-09 16:00:00,2022-12-13 16:00:00,-1.0,34
2022-12-14 16:00:00,2022-12-16 16:00:00,1.0,2
2022-12-16 16:00:00,2023-01-07 16:00:00,-1.0,22
2023-01-09 16:00:00,2023-02-10 16:00:00,1.0,32
2023-02-12 16:00:00,2023-02-13 16:00:00,1.0,1
2023-02-14 16:00:00,2023-03-03 16:00:00,1.0,17
2023-03-06 16:00:00,2023-03-13 16:00:00,-1.0,7
2023-03-15 16:00:00,2023-04-21 16:00:00,1.0,37
2023-04-26 16:00:00,2023-05-01 16:00:00,1.0,5
2023-05-02 16:00:00,2023-05-03 16:00:00,1.0,1
2023-05-04 16:00:00,2023-05-08 16:00:00,1.0,4
2023-05-09 16:00:00,2023-05-29 16:00:00,-1.0,20
2023-05-31 16:00:00,2023-06-03 16:00:00,-1.0,3
2023-06-04 16:00:00,2023-06-18 16:00:00,-1.0,14
2023-06-19 16:00:00,2023-06-20 16:00:00,-1.0,1
2023-06-21 16:00:00,2023-07-20 16:00:00,1.0,29
2023-07-21 16:00:00,2023-07-24 16:00:00,1.0,3
2023-07-25 16:00:00,2023-08-08 16:00:00,-1.0,14
2023-08-11 16:00:00,2023-08-14 16:00:00,-1.0,3
2023-08-15 16:00:00,2023-09-14 16:00:00,-1.0,30
2023-09-15 16:00:00,2023-09-17 16:00:00,-1.0,2
2023-09-20 16:00:00,2023-09-21 16:00:00,1.0,1
2023-09-24 16:00:00,2023-09-28 16:00:00,-1.0,4
2023-09-30 16:00:00,2023-10-11 16:00:00,1.0,11
2023-10-16 16:00:00,2024-01-13 16:00:00,1.0,89
2024-01-19 16:00:00,2024-01-28 16:00:00,-1.0,9
2024-02-02 16:00:00,2024-04-02 16:00:00,1.0,60
2024-04-04 16:00:00,2024-04-14 16:00:00,1.0,10
2024-04-16 16:00:00,2024-04-22 16:00:00,-1.0,6
2024-04-24 16:00:00,2024-05-05 16:00:00,-1.0,11
2024-05-06 16:00:00,2024-05-15 16:00:00,-1.0,9
2024-05-17 16:00:00,2024-06-11 16:00:00,1.0,25
2024-06-12 16:00:00,2024-06-13 16:00:00,1.0,1
2024-06-16 16:00:00,2024-07-15 16:00:00,-1.0,29
2024-07-18 16:00:00,2024-08-01 16:00:00,1.0,14
2024-08-04 16:00:00,2024-08-23 16:00:00,-1.0,19
2024-08-25 16:00:00,2024-08-28 16:00:00,1.0,3
2024-08-30 16:00:00,2024-09-13 16:00:00,-1.0,14
2024-09-16 16:00:00,2024-09-17 16:00:00,-1.0,1
2024-09-18 16:00:00,2024-10-03 16:00:00,1.0,15
2024-10-04 16:00:00,2024-10-10 16:00:00,1.0,6
2024-10-11 16:00:00,2024-12-20 16:00:00,1.0,70
2024-12-21 16:00:00,2024-12-22 16:00:00,1.0,1
2024-12-24 16:00:00,2024-12-26 16:00:00,1.0,2
2024-12-29 16:00:00,2025-01-02 16:00:00,-1.0,4
2025-01-05 16:00:00,2025-01-08 16:00:00,1.0,3
2025-01-10 16:00:00,2025-01-14 16:00:00,-1.0,4
2025-01-16 16:00:00,2025-02-02 16:00:00,1.0,17
2025-02-06 16:00:00,2025-03-24 16:00:00,-1.0,46
2025-03-28 16:00:00,2025-04-02 16:00:00,-1.0,5
2025-04-03 16:00:00,2025-04-12 16:00:00,-1.0,9
2025-04-19 16:00:00,2025-06-14 16:00:00,1.0,56
2025-06-15 16:00:00,2025-06-17 16:00:00,1.0,2
2025-06-21 16:00:00,2025-06-24 16:00:00,-1.0,3
2025-06-26 16:00:00,2025-08-01 16:00:00,1.0,36
2025-08-06 16:00:00,2025-08-18 16:00:00,1.0,12
2025-08-21 16:00:00,2025-08-22 16:00:00,-1.0,1
2025-08-23 16:00:00,2025-09-08 16:00:00,-1.0,16
2025-09-09 16:00:00,2025-09-10 16:00:00,-1.0,1
2025-09-13 16:00:00,2025-09-22 16:00:00,1.0,9
2025-09-25 16:00:00,2025-09-29 16:00:00,-1.0,4
2025-10-02 16:00:00,2025-10-11 16:00:00,1.0,9
2025-10-15 16:00:00,2025-10-26 16:00:00,-1.0,11
2025-10-29 16:00:00,2026-01-02 16:00:00,-1.0,65
2026-01-05 16:00:00,2026-01-20 16:00:00,1.0,15
2026-01-24 16:00:00,2026-03-04 16:00:00,-1.0,39
2026-03-06 16:00:00,2026-03-10 16:00:00,-1.0,4
2026-03-16 16:00:00,2026-03-19 16:00:00,1.0,3
2026-03-22 16:00:00,2026-03-25 16:00:00,-1.0,3
2026-03-26 16:00:00,2026-04-06 16:00:00,-1.0,11
2026-04-07 16:00:00,2026-04-08 16:00:00,-1.0,1
2026-04-09 16:00:00,2026-05-17 16:00:00,1.0,38
2026-05-23 16:00:00,2026-05-25 16:00:00,-1.0,2
2026-05-26 16:00:00,2026-06-30 16:00:00,-1.0,35
