start,dir,days,spot,opt_delta,opt_budget,bucket
2020-11-13,1,70,441460.5745721272,534684.4732022672,290688.6183663075,>30d
2021-01-30,1,30,156678.67719745284,140522.30514943707,59710.30476919141,8-30d
2021-03-02,1,24,28394.801573728768,-52579.51854572903,-23817.271143820744,8-30d
2021-03-28,1,22,3576.9106029508257,-39878.381002909126,-25906.684167831558,8-30d
2021-04-23,-1,8,-65695.74725313799,-67230.52871827048,-35343.47740128054,<8d
2021-05-08,1,4,-19692.900711623195,-11256.912650149114,-9686.403043966866,<8d
2021-05-14,-1,32,93741.11641870225,144234.36774450395,72041.6354207191,>30d
2021-06-17,-1,38,47963.49925632698,13401.13906583251,4136.167161360037,>30d
2021-07-27,1,43,90912.6904624488,137764.41386592243,102970.56895064177,>30d
2021-09-15,1,6,-56414.066573239885,-49221.40402377287,-36599.45671037626,<8d
2021-09-22,-1,10,-53613.00849145626,-82175.17214820933,-36934.831536744394,8-30d
2021-10-05,1,43,82826.54988171949,88143.45522656698,67950.30072068675,>30d
2021-11-21,-1,34,66125.58421942289,28540.788075619683,14214.449945615088,>30d
2021-12-26,-1,2,-12.384112167576177,133.07237890494952,73.84844604348714,<8d
2021-12-29,-1,39,53608.52050019099,94446.56568408123,48466.456274071585,>30d
2022-02-10,1,9,-41449.398605561335,-44877.819612956206,-43233.23892724425,8-30d
2022-02-21,-1,8,-84389.99222172414,-49432.23048778162,-32841.161649360656,<8d
2022-03-03,1,2,-39952.1251568382,-42807.51031196225,-32850.88818407533,<8d
2022-03-07,-1,3,-52161.72075404675,0.0,0.0,<8d
2022-03-11,-1,6,-31852.946779101887,-32750.079490737415,-19724.74367390105,<8d
2022-03-20,1,19,25751.922974799163,-10188.186390078707,-6088.135270811745,8-30d
2022-04-13,-1,9,6597.868364703752,-13010.95793323989,-12007.32091767534,8-30d
2022-04-23,-1,39,96235.59969543041,221053.59673438434,236943.3486824004,>30d
2022-06-02,-1,5,-16127.124277067287,-35082.030749055935,-24997.11179556198,<8d
2022-06-08,-1,41,126806.43474521922,340339.80080991925,280866.36778712564,>30d
2022-07-21,1,5,-40825.88345060841,-35081.418705828095,-22345.181258949822,<8d
2022-07-29,1,22,-62658.99694787659,-65683.18371528258,-49179.80867802708,8-30d
2022-08-21,-1,20,2631.5338888690385,-36956.118792519555,-18551.66573409179,8-30d
2022-09-14,-1,21,-4066.3039565499766,-52593.24482729074,-37108.12800929899,8-30d
2022-10-08,-1,18,-18547.155912563812,-45699.792102338564,-36755.97799361951,8-30d
2022-10-27,1,13,-44073.410177270765,-44627.528792186116,-40964.619264147455,8-30d
2022-11-10,-1,34,-7205.148608468808,-117900.95205922375,-75524.6619937454,>30d
2022-12-15,1,2,-21921.33490707876,-16336.004474861726,-27379.788800171573,<8d
2022-12-17,-1,22,-5718.356700009114,-56377.67671407235,-48064.27540923246,8-30d
2023-01-10,1,32,119033.3432316633,189084.43874854036,222577.6788680162,>30d
2023-02-15,1,17,-41622.35024404917,-48636.3806161969,-46582.69900752416,8-30d
2023-03-07,-1,7,-46341.19628824196,-26811.83187781201,-23484.71146798191,<8d
2023-03-16,1,37,43216.73509387861,25681.97098868066,36889.03330743614,>30d
2023-04-27,1,5,-24679.91038445332,-15820.780467473558,-16138.505146024074,<8d
