start,dir,days,spot,opt_delta,opt_budget,bucket
2024-05-17,1,23,-34804.04945305889,0.0,0.0,8-30d
2024-07-17,1,16,38778.936545051874,0.0,0.0,8-30d
2024-09-22,1,12,-28982.030617519747,-47588.51213084649,-27211.89596681964,8-30d
2024-10-07,1,2,-2664.184870139403,0.0,0.0,<8d
2024-10-13,1,22,48804.2767511911,0.0,0.0,8-30d
2024-11-05,1,35,151014.97520385403,355145.08177418984,283827.8163928974,>30d
2024-12-12,1,2,-6867.586919278008,0.0,0.0,<8d
2025-01-07,1,2,-12456.809136879292,-50315.355893264736,-25909.245190392066,<8d
2025-01-19,1,14,-78344.12883770019,-112898.53037984637,-43700.19194139052,8-30d
2025-04-20,1,41,67118.5123682963,18274.563437593664,8310.702390172599,>30d
2025-07-07,1,26,47124.25980562013,0.0,0.0,8-30d
2025-08-09,1,11,-12642.350467667915,-19590.723489763674,-15671.401721502807,8-30d
2025-08-21,1,34,92161.57195065942,32779.85723610045,14078.542662368476,>30d
2025-10-03,1,7,-27715.88778957392,-38589.944509695204,-23147.76254859067,<8d
2026-01-07,1,13,-10976.324967025292,-40155.398026780196,-33600.32058777624,8-30d
2026-03-25,1,2,-29593.14685131651,-37999.21633055334,-22582.172403025364,<8d
2026-04-18,1,10,-10639.0272004076,-17371.935794127116,-11773.271672048115,8-30d
2026-05-07,1,10,-10472.386000054386,-23060.32888252772,-27388.831554567052,8-30d
2024-04-14,-1,23,-6511.521332086326,0.0,0.0,8-30d
2024-05-09,-1,7,-20767.050568210158,-54467.062186225696,-27375.427184143482,<8d
2024-06-12,-1,16,17717.219588239408,0.0,0.0,8-30d
2024-06-29,-1,3,-23954.323997302967,-7243.131874319115,-4772.657607923413,<8d
2024-07-04,-1,11,-80835.67422553107,-59492.19719800292,-36851.325307003004,8-30d
2024-08-05,-1,4,-126480.56646958871,-61579.77360824361,-25649.017445227724,<8d
2024-08-10,-1,15,-21383.251065265973,0.0,0.0,8-30d
2024-08-29,-1,22,-10425.151053621354,-43175.94497403337,-21761.38488643483,8-30d
2024-12-18,-1,16,-5075.004116701246,0.0,0.0,8-30d
2025-01-09,-1,8,-72617.6992590462,-32345.54049793067,-20526.996705931117,<8d
2025-02-06,-1,47,126987.25225541282,116958.74695143319,54560.85442302571,>30d
2025-03-27,-1,17,20740.67829925126,-3027.1090620174946,-1723.8622675534716,8-30d
2025-06-03,-1,9,-17934.914828961333,-27071.66622676311,-13816.26429132223,8-30d
2025-06-13,-1,17,-15864.930149909816,-53961.37439423896,-30747.99563300741,8-30d
2025-07-05,-1,2,-15247.047725336593,-13817.300892192578,-10247.784057811925,<8d
2025-08-07,-1,2,-4705.829083239112,-18287.4326146246,-13388.80767093444,<8d
2025-09-28,-1,4,-27687.926331283303,-33501.62123037526,-20199.70308595273,<8d
2025-10-12,-1,84,161116.47531048887,0.0,0.0,>30d
2026-01-23,-1,41,144156.87501814985,355624.1883863964,267100.8233012234,>30d
2026-03-06,-1,8,-20893.112858960754,-11914.986363161399,-6429.4541463600035,<8d
2026-03-15,-1,2,-22169.763901281185,-44201.32065558646,-22072.64290658051,<8d
2026-03-20,-1,2,13265.913087136081,4131.789565721733,2050.4438319920578,<8d
2026-03-28,-1,15,-17816.09087746532,-49782.66158152904,-32287.54485142564,8-30d
2026-04-13,-1,2,15318.611707056958,0.0,0.0,<8d
2026-04-30,-1,6,-21910.375730842465,-26586.838402046265,-22003.46514049244,<8d
2026-05-21,-1,26,75307.05626220902,95046.3543913617,69458.00471713682,8-30d
2026-06-17,-1,5,-3771.928532623433,0.0,0.0,<8d
2026-06-23,-1,5,-8177.179033606892,0.0,0.0,<8d
