,equity
2020-04-02 00:00:00+00:00,1000232.0118778782
2020-04-03 00:00:00+00:00,997956.6716466113
2020-04-04 00:00:00+00:00,1005412.2977814026
2020-04-05 00:00:00+00:00,1007040.105993698
2020-04-06 00:00:00+00:00,1004206.865080756
2020-04-07 00:00:00+00:00,1004096.2935562088
2020-04-08 00:00:00+00:00,1004316.5931613394
2020-04-09 00:00:00+00:00,1007832.9897146076
2020-04-10 00:00:00+00:00,1008838.400529344
2020-04-11 00:00:00+00:00,1013012.3378217753
2020-04-12 00:00:00+00:00,1014262.6729196201
2020-04-13 00:00:00+00:00,1012760.7296571782
2020-04-14 00:00:00+00:00,1014650.3530858435
2020-04-15 00:00:00+00:00,1016162.8133111362
2020-04-16 00:00:00+00:00,1013694.3166077093
2020-04-17 00:00:00+00:00,1016612.6950355055
2020-04-18 00:00:00+00:00,1016441.4416979991
2020-04-19 00:00:00+00:00,1017161.5370922234
2020-04-20 00:00:00+00:00,1015223.8452947722
2020-04-21 00:00:00+00:00,1017510.9015499098
2020-04-22 00:00:00+00:00,1016685.943641873
2020-04-23 00:00:00+00:00,1015893.1049445671
2020-04-24 00:00:00+00:00,1015576.3278478897
2020-04-25 00:00:00+00:00,1015576.3278478897
2020-04-26 00:00:00+00:00,1015576.3278478897
2020-04-27 00:00:00+00:00,1015576.3278478897
2020-04-28 00:00:00+00:00,1015576.3278478897
2020-04-29 00:00:00+00:00,1015576.3278478897
2020-04-30 00:00:00+00:00,1015576.3278478897
2020-05-01 00:00:00+00:00,1015576.3278478897
2020-05-02 00:00:00+00:00,1017224.9393675573
2020-05-03 00:00:00+00:00,1019369.4362672861
2020-05-04 00:00:00+00:00,1016990.6023471787
2020-05-05 00:00:00+00:00,1019542.8550037192
2020-05-06 00:00:00+00:00,1017525.2451754968
2020-05-07 00:00:00+00:00,1012801.5378929653
2020-05-08 00:00:00+00:00,1013115.6132515722
2020-05-09 00:00:00+00:00,1014498.1309451483
2020-05-10 00:00:00+00:00,999773.5653557903
2020-05-11 00:00:00+00:00,1000802.0380869973
2020-05-12 00:00:00+00:00,1012745.3914412326
2020-05-13 00:00:00+00:00,1011951.828834127
2020-05-14 00:00:00+00:00,1009661.164521866
2020-05-15 00:00:00+00:00,1007328.5327718509
2020-05-16 00:00:00+00:00,1011832.7677115892
2020-05-17 00:00:00+00:00,1013197.9149805951
2020-05-18 00:00:00+00:00,1011885.6211411045
2020-05-19 00:00:00+00:00,1014025.7442186492
2020-05-20 00:00:00+00:00,1014586.2173708746
2020-05-21 00:00:00+00:00,1016307.3763484635
2020-05-22 00:00:00+00:00,1019288.5142082251
2020-05-23 00:00:00+00:00,1021042.1380421345
2020-05-24 00:00:00+00:00,1018073.421238044
2020-05-25 00:00:00+00:00,1019094.348071529
2020-05-26 00:00:00+00:00,1021552.9257129945
2020-05-27 00:00:00+00:00,1020650.7093922022
2020-05-28 00:00:00+00:00,1019786.7920909191
2020-05-29 00:00:00+00:00,1019507.9319184041
2020-05-30 00:00:00+00:00,1019507.9319184041
2020-05-31 00:00:00+00:00,1019507.9319184041
2020-06-01 00:00:00+00:00,1019507.9319184041
2020-06-02 00:00:00+00:00,1019507.9319184041
2020-06-03 00:00:00+00:00,1019507.9319184041
2020-06-04 00:00:00+00:00,1019507.9319184041
2020-06-05 00:00:00+00:00,1019507.9319184041
2020-06-06 00:00:00+00:00,1019507.9319184041
2020-06-07 00:00:00+00:00,1019507.9319184041
2020-06-08 00:00:00+00:00,1019507.9319184041
2020-06-09 00:00:00+00:00,1019507.9319184041
2020-06-10 00:00:00+00:00,1019507.9319184041
2020-06-11 00:00:00+00:00,1019507.9319184041
2020-06-12 00:00:00+00:00,1019507.9319184041
2020-06-13 00:00:00+00:00,1019507.9319184041
