,equity
2020-01-02 00:00:00+00:00,997422.1021584016
2020-01-03 00:00:00+00:00,997940.1490929641
2020-01-04 00:00:00+00:00,999548.1427558475
2020-01-05 00:00:00+00:00,1000808.0653325353
2020-01-06 00:00:00+00:00,999017.6065864458
2020-01-07 00:00:00+00:00,995505.5726965748
2020-01-08 00:00:00+00:00,992315.5783237161
2020-01-09 00:00:00+00:00,995904.3234472154
2020-01-10 00:00:00+00:00,996123.159068586
2020-01-11 00:00:00+00:00,996694.7539426077
2020-01-12 00:00:00+00:00,995594.6517612267
2020-01-13 00:00:00+00:00,995853.5235169553
2020-01-14 00:00:00+00:00,992402.8945078617
2020-01-15 00:00:00+00:00,992079.0761986445
2020-01-16 00:00:00+00:00,992678.9623312844
2020-01-17 00:00:00+00:00,992670.8320685957
2020-01-18 00:00:00+00:00,992771.8853426748
2020-01-19 00:00:00+00:00,992688.1123393357
2020-01-20 00:00:00+00:00,992917.5401457502
2020-01-21 00:00:00+00:00,992941.3731399189
2020-01-22 00:00:00+00:00,992893.4040717417
2020-01-23 00:00:00+00:00,992925.5350026698
2020-01-24 00:00:00+00:00,992856.5654051858
2020-01-25 00:00:00+00:00,992786.4581266794
2020-01-26 00:00:00+00:00,992647.3714354925
2020-01-27 00:00:00+00:00,992524.6258955654
2020-01-28 00:00:00+00:00,992400.4411446252
2020-01-29 00:00:00+00:00,992269.6825061475
2020-01-30 00:00:00+00:00,992140.3338779873
2020-01-31 00:00:00+00:00,991791.2305297288
2020-02-01 00:00:00+00:00,991791.2305297288
2020-02-02 00:00:00+00:00,992391.8990485547
2020-02-03 00:00:00+00:00,992724.1095643028
2020-02-04 00:00:00+00:00,993931.9119458846
2020-02-05 00:00:00+00:00,991589.6317356825
2020-02-06 00:00:00+00:00,990632.648239887
2020-02-07 00:00:00+00:00,992308.5511096955
2020-02-08 00:00:00+00:00,993776.7037902266
2020-02-09 00:00:00+00:00,993294.4338674382
2020-02-10 00:00:00+00:00,994232.6164214152
2020-02-11 00:00:00+00:00,992755.4350243141
2020-02-12 00:00:00+00:00,991492.7690276692
2020-02-13 00:00:00+00:00,992144.2334086115
2020-02-14 00:00:00+00:00,992913.1466893363
2020-02-15 00:00:00+00:00,991996.3802120202
2020-02-16 00:00:00+00:00,993191.8930899712
2020-02-17 00:00:00+00:00,994009.9985464863
2020-02-18 00:00:00+00:00,992654.9922625065
2020-02-19 00:00:00+00:00,987683.105979752
2020-02-20 00:00:00+00:00,989454.6660793126
2020-02-21 00:00:00+00:00,993476.3595532194
2020-02-22 00:00:00+00:00,995798.4711569698
