,equity
2020-04-02 00:00:00+00:00,998961.8891653457
2020-04-03 00:00:00+00:00,997571.0684844753
2020-04-04 00:00:00+00:00,1003573.4658283457
2020-04-05 00:00:00+00:00,1006703.8671618436
2020-04-06 00:00:00+00:00,996596.6241734535
2020-04-07 00:00:00+00:00,1000918.1093699927
2020-04-08 00:00:00+00:00,996853.5519708215
2020-04-09 00:00:00+00:00,1002628.2454680383
2020-04-10 00:00:00+00:00,1016074.2916450577
2020-04-11 00:00:00+00:00,1020236.577720498
2020-04-12 00:00:00+00:00,1020963.275707663
2020-04-13 00:00:00+00:00,1020517.7436810617
2020-04-14 00:00:00+00:00,1022236.907436019
2020-04-15 00:00:00+00:00,1028636.3490897795
2020-04-16 00:00:00+00:00,1021839.8289256948
2020-04-17 00:00:00+00:00,1027059.1484640876
2020-04-18 00:00:00+00:00,1019511.0116941751
2020-04-19 00:00:00+00:00,1025809.302622687
2020-04-20 00:00:00+00:00,1036053.2199236614
2020-04-21 00:00:00+00:00,1037952.6008882821
2020-04-22 00:00:00+00:00,1028528.9620318388
2020-04-23 00:00:00+00:00,1010218.6846941402
2020-04-24 00:00:00+00:00,1009238.7298516337
2020-04-25 00:00:00+00:00,1009238.7298516337
2020-04-26 00:00:00+00:00,1009238.7298516337
2020-04-27 00:00:00+00:00,1009238.7298516337
2020-04-28 00:00:00+00:00,1009238.7298516337
2020-04-29 00:00:00+00:00,1009238.7298516337
2020-04-30 00:00:00+00:00,1009238.7298516337
2020-05-01 00:00:00+00:00,1009238.7298516337
2020-05-02 00:00:00+00:00,1009518.5868942841
2020-05-03 00:00:00+00:00,1012654.8201260144
2020-05-04 00:00:00+00:00,1010505.4637944875
2020-05-05 00:00:00+00:00,1011649.3795864434
2020-05-06 00:00:00+00:00,1008090.3649511309
2020-05-07 00:00:00+00:00,991660.6640823322
2020-05-08 00:00:00+00:00,996746.33143139
2020-05-09 00:00:00+00:00,1004445.4328448607
2020-05-10 00:00:00+00:00,1005774.7787368945
2020-05-11 00:00:00+00:00,1007981.7315756686
2020-05-12 00:00:00+00:00,1018851.0798328397
2020-05-13 00:00:00+00:00,1013700.1421352308
2020-05-14 00:00:00+00:00,1002897.8703435258
2020-05-15 00:00:00+00:00,1012898.8540537906
2020-05-16 00:00:00+00:00,1015743.9929732255
2020-05-17 00:00:00+00:00,1011308.67407617
2020-05-18 00:00:00+00:00,1008805.9216135151
2020-05-19 00:00:00+00:00,1009444.9736009631
2020-05-20 00:00:00+00:00,1017827.9365236055
2020-05-21 00:00:00+00:00,1030949.0046736934
2020-05-22 00:00:00+00:00,1032131.7267517505
2020-05-23 00:00:00+00:00,1033660.240943053
2020-05-24 00:00:00+00:00,1041974.4258865117
2020-05-25 00:00:00+00:00,1041291.9729532921
2020-05-26 00:00:00+00:00,1044715.2536087871
2020-05-27 00:00:00+00:00,1037544.422783412
2020-05-28 00:00:00+00:00,1024672.8912862095
2020-05-29 00:00:00+00:00,1030097.6625786073
2020-05-30 00:00:00+00:00,1030097.6625786073
2020-05-31 00:00:00+00:00,1030097.6625786073
2020-06-01 00:00:00+00:00,1030097.6625786073
2020-06-02 00:00:00+00:00,1030097.6625786073
2020-06-03 00:00:00+00:00,1030097.6625786073
2020-06-04 00:00:00+00:00,1030097.6625786073
2020-06-05 00:00:00+00:00,1030097.6625786073
2020-06-06 00:00:00+00:00,1030097.6625786073
2020-06-07 00:00:00+00:00,1030097.6625786073
2020-06-08 00:00:00+00:00,1030097.6625786073
2020-06-09 00:00:00+00:00,1030097.6625786073
2020-06-10 00:00:00+00:00,1030097.6625786073
2020-06-11 00:00:00+00:00,1030097.6625786073
2020-06-12 00:00:00+00:00,1030097.6625786073
2020-06-13 00:00:00+00:00,1030097.6625786073
2020-06-14 00:00:00+00:00,1030097.6625786073
2020-06-15 00:00:00+00:00,1030097.6625786073
2020-06-16 00:00:00+00:00,1030097.6625786073
2020-06-17 00:00:00+00:00,1030097.6625786073
2020-06-18 00:00:00+00:00,1030097.6625786073
2020-06-19 00:00:00+00:00,1030097.6625786073
2020-06-20 00:00:00+00:00,1030097.6625786073
2020-06-21 00:00:00+00:00,1030097.6625786073
2020-06-22 00:00:00+00:00,1030097.6625786073
2020-06-23 00:00:00+00:00,1030097.6625786073
2020-06-24 00:00:00+00:00,1030097.6625786073
2020-06-25 00:00:00+00:00,1030097.6625786073
2020-06-26 00:00:00+00:00,1030097.6625786073
2020-06-27 00:00:00+00:00,1030097.6625786073
2020-06-28 00:00:00+00:00,1030097.6625786073
2020-06-29 00:00:00+00:00,1030097.6625786073
2020-06-30 00:00:00+00:00,1030097.6625786073
2020-07-01 00:00:00+00:00,1030097.6625786073
2020-07-02 00:00:00+00:00,1030097.6625786073
2020-07-03 00:00:00+00:00,1030097.6625786073
2020-07-04 00:00:00+00:00,1030097.6625786073
2020-07-05 00:00:00+00:00,1030097.6625786073
2020-07-06 00:00:00+00:00,1030097.6625786073
2020-07-07 00:00:00+00:00,1030097.6625786073
2020-07-08 00:00:00+00:00,1030097.6625786073
2020-07-09 00:00:00+00:00,1030097.6625786073
2020-07-10 00:00:00+00:00,1030097.6625786073
2020-07-11 00:00:00+00:00,1030097.6625786073
2020-07-12 00:00:00+00:00,1030097.6625786073
2020-07-13 00:00:00+00:00,1030097.6625786073
2020-07-14 00:00:00+00:00,1030097.6625786073
2020-07-15 00:00:00+00:00,1030097.6625786073
2020-07-16 00:00:00+00:00,1030097.6625786073
2020-07-17 00:00:00+00:00,1030097.6625786073
2020-07-18 00:00:00+00:00,1030097.6625786073
2020-07-19 00:00:00+00:00,1030097.6625786073
2020-07-20 00:00:00+00:00,1030097.6625786073
2020-07-21 00:00:00+00:00,1030097.6625786073
2020-07-22 00:00:00+00:00,1030097.6625786073
2020-07-23 00:00:00+00:00,1030097.6625786073
2020-07-24 00:00:00+00:00,1030097.6625786073
2020-07-25 00:00:00+00:00,1030097.6625786073
2020-07-26 00:00:00+00:00,1030097.6625786073
2020-07-27 00:00:00+00:00,1030097.6625786073
2020-07-28 00:00:00+00:00,1030097.6625786073
2020-07-29 00:00:00+00:00,1030097.6625786073
2020-07-30 00:00:00+00:00,1030097.6625786073
2020-07-31 00:00:00+00:00,1030097.6625786073
2020-08-01 00:00:00+00:00,1030097.6625786073
2020-08-02 00:00:00+00:00,1030097.6625786073
2020-08-03 00:00:00+00:00,1030097.6625786073
2020-08-04 00:00:00+00:00,1030097.6625786073
2020-08-05 00:00:00+00:00,1030097.6625786073
2020-08-06 00:00:00+00:00,1030097.6625786073
2020-08-07 00:00:00+00:00,1030097.6625786073
2020-08-08 00:00:00+00:00,1030097.6625786073
2020-08-09 00:00:00+00:00,1030097.6625786073
2020-08-10 00:00:00+00:00,1030097.6625786073
2020-08-11 00:00:00+00:00,1030097.6625786073
2020-08-12 00:00:00+00:00,1030097.6625786073
2020-08-13 00:00:00+00:00,1030097.6625786073
2020-08-14 00:00:00+00:00,1030097.6625786073
2020-08-15 00:00:00+00:00,1030097.6625786073
2020-08-16 00:00:00+00:00,1030097.6625786073
2020-08-17 00:00:00+00:00,1030097.6625786073
2020-08-18 00:00:00+00:00,1030097.6625786073
2020-08-19 00:00:00+00:00,1030097.6625786073
2020-08-20 00:00:00+00:00,1030097.6625786073
2020-08-21 00:00:00+00:00,1030097.6625786073
2020-08-22 00:00:00+00:00,1030097.6625786073
2020-08-23 00:00:00+00:00,1030097.6625786073
2020-08-24 00:00:00+00:00,1030097.6625786073
2020-08-25 00:00:00+00:00,1030097.6625786073
2020-08-26 00:00:00+00:00,1030097.6625786073
2020-08-27 00:00:00+00:00,1030097.6625786073
2020-08-28 00:00:00+00:00,1030097.6625786073
2020-08-29 00:00:00+00:00,1030097.6625786073
2020-08-30 00:00:00+00:00,1030097.6625786073
2020-08-31 00:00:00+00:00,1030097.6625786073
2020-09-01 00:00:00+00:00,1030097.6625786073
2020-09-02 00:00:00+00:00,1030097.6625786073
2020-09-03 00:00:00+00:00,1030097.6625786073
2020-09-04 00:00:00+00:00,1030097.6625786073
2020-09-05 00:00:00+00:00,1030097.6625786073
2020-09-06 00:00:00+00:00,1030097.6625786073
2020-09-07 00:00:00+00:00,1030097.6625786073
2020-09-08 00:00:00+00:00,1030097.6625786073
2020-09-09 00:00:00+00:00,1030097.6625786073
2020-09-10 00:00:00+00:00,1030097.6625786073
2020-09-11 00:00:00+00:00,1030097.6625786073
2020-09-12 00:00:00+00:00,1030097.6625786073
2020-09-13 00:00:00+00:00,1030097.6625786073
2020-09-14 00:00:00+00:00,1030097.6625786073
2020-09-15 00:00:00+00:00,1030097.6625786073
2020-09-16 00:00:00+00:00,1030097.6625786073
2020-09-17 00:00:00+00:00,1030097.6625786073
2020-09-18 00:00:00+00:00,1030097.6625786073
2020-09-19 00:00:00+00:00,1030097.6625786073
2020-09-20 00:00:00+00:00,1030097.6625786073
2020-09-21 00:00:00+00:00,1030097.6625786073
2020-09-22 00:00:00+00:00,1030097.6625786073
2020-09-23 00:00:00+00:00,1030097.6625786073
2020-09-24 00:00:00+00:00,1030097.6625786073
2020-09-25 00:00:00+00:00,1030097.6625786073
2020-09-26 00:00:00+00:00,1030097.6625786073
2020-09-27 00:00:00+00:00,1030097.6625786073
2020-09-28 00:00:00+00:00,1030097.6625786073
2020-09-29 00:00:00+00:00,1030097.6625786073
2020-09-30 00:00:00+00:00,1030097.6625786073
2020-10-01 00:00:00+00:00,1030097.6625786073
2020-10-02 00:00:00+00:00,1030097.6625786073
2020-10-03 00:00:00+00:00,1030097.6625786073
2020-10-04 00:00:00+00:00,1030097.6625786073
2020-10-05 00:00:00+00:00,1030097.6625786073
2020-10-06 00:00:00+00:00,1030097.6625786073
2020-10-07 00:00:00+00:00,1030097.6625786073
2020-10-08 00:00:00+00:00,1030097.6625786073
2020-10-09 00:00:00+00:00,1030097.6625786073
2020-10-10 00:00:00+00:00,1030097.6625786073
2020-10-11 00:00:00+00:00,1030097.6625786073
2020-10-12 00:00:00+00:00,1030097.6625786073
2020-10-13 00:00:00+00:00,1030097.6625786073
2020-10-14 00:00:00+00:00,1030097.6625786073
2020-10-15 00:00:00+00:00,1030097.6625786073
2020-10-16 00:00:00+00:00,1030097.6625786073
2020-10-17 00:00:00+00:00,1030097.6625786073
2020-10-18 00:00:00+00:00,1030097.6625786073
2020-10-19 00:00:00+00:00,1030097.6625786073
2020-10-20 00:00:00+00:00,1030097.6625786073
2020-10-21 00:00:00+00:00,1030097.6625786073
2020-10-22 00:00:00+00:00,1030097.6625786073
2020-10-23 00:00:00+00:00,1030097.6625786073
2020-10-24 00:00:00+00:00,1030097.6625786073
2020-10-25 00:00:00+00:00,1030097.6625786073
2020-10-26 00:00:00+00:00,1030097.6625786073
2020-10-27 00:00:00+00:00,1030097.6625786073
2020-10-28 00:00:00+00:00,1030097.6625786073
2020-10-29 00:00:00+00:00,1030097.6625786073
2020-10-30 00:00:00+00:00,1030097.6625786073
2020-10-31 00:00:00+00:00,1030097.6625786073
2020-11-01 00:00:00+00:00,1030097.6625786073
2020-11-02 00:00:00+00:00,1030097.6625786073
2020-11-03 00:00:00+00:00,1030097.6625786073
2020-11-04 00:00:00+00:00,1030097.6625786073
2020-11-05 00:00:00+00:00,1030097.6625786073
2020-11-06 00:00:00+00:00,1030097.6625786073
2020-11-07 00:00:00+00:00,1030097.6625786073
2020-11-08 00:00:00+00:00,1030097.6625786073
2020-11-09 00:00:00+00:00,1030097.6625786073
2020-11-10 00:00:00+00:00,1030097.6625786073
2020-11-11 00:00:00+00:00,1030097.6625786073
2020-11-12 00:00:00+00:00,1030097.6625786073
2020-11-13 00:00:00+00:00,1030097.6625786073
2020-11-14 00:00:00+00:00,1030097.6625786073
2020-11-15 00:00:00+00:00,1030097.6625786073
2020-11-16 00:00:00+00:00,1030097.6625786073
2020-11-17 00:00:00+00:00,1030097.6625786073
2020-11-18 00:00:00+00:00,1030097.6625786073
2020-11-19 00:00:00+00:00,1030097.6625786073
2020-11-20 00:00:00+00:00,1030097.6625786073
2020-11-21 00:00:00+00:00,1030097.6625786073
2020-11-22 00:00:00+00:00,1030097.6625786073
2020-11-23 00:00:00+00:00,1030097.6625786073
2020-11-24 00:00:00+00:00,1030097.6625786073
2020-11-25 00:00:00+00:00,1030097.6625786073
2020-11-26 00:00:00+00:00,1030097.6625786073
2020-11-27 00:00:00+00:00,1030097.6625786073
2020-11-28 00:00:00+00:00,1030097.6625786073
2020-11-29 00:00:00+00:00,1030097.6625786073
2020-11-30 00:00:00+00:00,1030097.6625786073
2020-12-01 00:00:00+00:00,1030097.6625786073
2020-12-02 00:00:00+00:00,1043431.6922884636
2020-12-03 00:00:00+00:00,1048324.4689400932
2020-12-04 00:00:00+00:00,1045266.9523998144
2020-12-05 00:00:00+00:00,1047923.9998273297
2020-12-06 00:00:00+00:00,1050200.8771206937
2020-12-07 00:00:00+00:00,1050212.8730058342
2020-12-08 00:00:00+00:00,1047617.6295692537
2020-12-09 00:00:00+00:00,1050838.971010552
2020-12-10 00:00:00+00:00,1050771.8293713632
2020-12-11 00:00:00+00:00,1049655.3240272368
2020-12-12 00:00:00+00:00,1057210.3542234187
2020-12-13 00:00:00+00:00,1063257.9048546983
2020-12-14 00:00:00+00:00,1062628.1966153833
2020-12-15 00:00:00+00:00,1063672.3565453747
2020-12-16 00:00:00+00:00,1056230.804520889
2020-12-17 00:00:00+00:00,1037656.8550527265
2020-12-18 00:00:00+00:00,1035559.904749182
2020-12-19 00:00:00+00:00,1024975.6813856346
2020-12-20 00:00:00+00:00,1031222.7055027185
2020-12-21 00:00:00+00:00,1043954.2646882694
2020-12-22 00:00:00+00:00,1026500.175222598
2020-12-23 00:00:00+00:00,1036277.0287094134
2020-12-24 00:00:00+00:00,1028660.5501167709
2020-12-25 00:00:00+00:00,1012061.0805711739
2020-12-26 00:00:00+00:00,1012061.0805711739
2020-12-27 00:00:00+00:00,1012061.0805711739
2020-12-28 00:00:00+00:00,1012061.0805711739
