,equity
2020-01-02 00:00:00+00:00,999473.3946345289
2020-01-03 00:00:00+00:00,999527.6455739432
2020-01-04 00:00:00+00:00,1000863.9318943562
2020-01-05 00:00:00+00:00,1002127.403347187
2020-01-06 00:00:00+00:00,994260.0107962724
2020-01-07 00:00:00+00:00,980004.8416768792
2020-01-08 00:00:00+00:00,980889.4457921851
2020-01-09 00:00:00+00:00,991247.7513598362
2020-01-10 00:00:00+00:00,981232.2749576676
2020-01-11 00:00:00+00:00,988377.3160274273
2020-01-12 00:00:00+00:00,981908.6518275454
2020-01-13 00:00:00+00:00,984608.2086326545
2020-01-14 00:00:00+00:00,955648.3859528361
2020-01-15 00:00:00+00:00,956171.1990518778
2020-01-16 00:00:00+00:00,960670.8005341858
2020-01-17 00:00:00+00:00,953019.3700298624
2020-01-18 00:00:00+00:00,952548.2764439532
2020-01-19 00:00:00+00:00,962425.4625247365
2020-01-20 00:00:00+00:00,966135.4073845461
2020-01-21 00:00:00+00:00,961681.844167815
2020-01-22 00:00:00+00:00,964892.7884995532
2020-01-23 00:00:00+00:00,976954.2387276246
2020-01-24 00:00:00+00:00,975699.388818891
2020-01-25 00:00:00+00:00,980414.0359168843
2020-01-26 00:00:00+00:00,968256.1660900286
2020-01-27 00:00:00+00:00,954051.9829891152
2020-01-28 00:00:00+00:00,931513.2204344886
2020-01-29 00:00:00+00:00,936214.225943415
2020-01-30 00:00:00+00:00,925984.8939927985
2020-01-31 00:00:00+00:00,934004.4747021394
2020-02-01 00:00:00+00:00,934004.4747021394
2020-02-02 00:00:00+00:00,934596.8506063153
2020-02-03 00:00:00+00:00,934874.9997923954
2020-02-04 00:00:00+00:00,935803.9823259059
2020-02-05 00:00:00+00:00,935835.9962583592
2020-02-06 00:00:00+00:00,934283.9061363165
2020-02-07 00:00:00+00:00,935586.1013323856
2020-02-08 00:00:00+00:00,936272.1836655841
2020-02-09 00:00:00+00:00,933079.4381905597
2020-02-10 00:00:00+00:00,939008.7163426601
2020-02-11 00:00:00+00:00,933380.197635843
2020-02-12 00:00:00+00:00,930613.6835064508
2020-02-13 00:00:00+00:00,933688.4408664189
2020-02-14 00:00:00+00:00,932250.5917183332
2020-02-15 00:00:00+00:00,941070.2660238665
2020-02-16 00:00:00+00:00,941963.895863546
2020-02-17 00:00:00+00:00,945665.1094992404
2020-02-18 00:00:00+00:00,940884.1234224874
2020-02-19 00:00:00+00:00,947769.8998156958
2020-02-20 00:00:00+00:00,949540.8444129899
2020-02-21 00:00:00+00:00,953118.2946044133
2020-02-22 00:00:00+00:00,955815.9295145962
2020-02-23 00:00:00+00:00,952537.0692379922
2020-02-24 00:00:00+00:00,958177.9313382012
2020-02-25 00:00:00+00:00,959254.2528532394
2020-02-26 00:00:00+00:00,947956.1848846483
2020-02-27 00:00:00+00:00,949371.386085298
2020-02-28 00:00:00+00:00,945930.0658780129
2020-02-29 00:00:00+00:00,945930.0658780129
2020-03-01 00:00:00+00:00,945930.0658780129
2020-03-02 00:00:00+00:00,942678.9464443999
2020-03-03 00:00:00+00:00,946544.8345012615
2020-03-04 00:00:00+00:00,947864.9426995944
2020-03-05 00:00:00+00:00,945784.3354065281
2020-03-06 00:00:00+00:00,945852.0118754037
2020-03-07 00:00:00+00:00,950678.0944289466
2020-03-08 00:00:00+00:00,950003.5413053555
2020-03-09 00:00:00+00:00,945162.646839781
2020-03-10 00:00:00+00:00,945605.7718465346
2020-03-11 00:00:00+00:00,947652.5101982036
2020-03-12 00:00:00+00:00,842950.0207089633
2020-03-13 00:00:00+00:00,867749.491274803
2020-03-14 00:00:00+00:00,852691.7831080074
2020-03-15 00:00:00+00:00,857518.155509128
2020-03-16 00:00:00+00:00,845692.4215516227
2020-03-17 00:00:00+00:00,859333.6538966312
2020-03-18 00:00:00+00:00,863081.3541432042
2020-03-19 00:00:00+00:00,892250.8325743629
2020-03-20 00:00:00+00:00,891877.6613917554
2020-03-21 00:00:00+00:00,893613.8907752762
2020-03-22 00:00:00+00:00,879928.6596499896
2020-03-23 00:00:00+00:00,905467.4145903216
2020-03-24 00:00:00+00:00,916623.0470346337
2020-03-25 00:00:00+00:00,915037.3158856876
2020-03-26 00:00:00+00:00,917446.1689172051
2020-03-27 00:00:00+00:00,902183.0719185817
2020-03-28 00:00:00+00:00,902183.0719185817
2020-03-29 00:00:00+00:00,902183.0719185817
2020-03-30 00:00:00+00:00,902183.0719185817
2020-03-31 00:00:00+00:00,902183.0719185817
2020-04-01 00:00:00+00:00,902183.0719185817
2020-04-02 00:00:00+00:00,901144.9610839274
2020-04-03 00:00:00+00:00,899754.140403057
2020-04-04 00:00:00+00:00,905756.5377469275
2020-04-05 00:00:00+00:00,908886.9390804253
2020-04-06 00:00:00+00:00,898779.6960920353
2020-04-07 00:00:00+00:00,903101.1812885745
2020-04-08 00:00:00+00:00,899036.6238894032
2020-04-09 00:00:00+00:00,904811.31738662
2020-04-10 00:00:00+00:00,918257.3635636395
2020-04-11 00:00:00+00:00,922419.6496390797
2020-04-12 00:00:00+00:00,923146.3476262448
2020-04-13 00:00:00+00:00,922700.8155996434
2020-04-14 00:00:00+00:00,924419.9793546009
2020-04-15 00:00:00+00:00,930819.4210083613
2020-04-16 00:00:00+00:00,924022.9008442765
2020-04-17 00:00:00+00:00,929242.2203826694
2020-04-18 00:00:00+00:00,921694.0836127568
2020-04-19 00:00:00+00:00,927992.3745412687
2020-04-20 00:00:00+00:00,938236.2918422432
2020-04-21 00:00:00+00:00,940135.6728068638
2020-04-22 00:00:00+00:00,930712.0339504206
2020-04-23 00:00:00+00:00,912401.756612722
2020-04-24 00:00:00+00:00,911421.8017702154
2020-04-25 00:00:00+00:00,911421.8017702154
2020-04-26 00:00:00+00:00,911421.8017702154
2020-04-27 00:00:00+00:00,911421.8017702154
2020-04-28 00:00:00+00:00,911421.8017702154
2020-04-29 00:00:00+00:00,911421.8017702154
2020-04-30 00:00:00+00:00,911421.8017702154
2020-05-01 00:00:00+00:00,911421.8017702154
2020-05-02 00:00:00+00:00,911701.6588128658
2020-05-03 00:00:00+00:00,914837.8920445961
2020-05-04 00:00:00+00:00,912688.5357130693
2020-05-05 00:00:00+00:00,913832.4515050253
2020-05-06 00:00:00+00:00,910273.4368697127
2020-05-07 00:00:00+00:00,893843.736000914
2020-05-08 00:00:00+00:00,898929.4033499717
2020-05-09 00:00:00+00:00,906628.5047634424
2020-05-10 00:00:00+00:00,907957.8506554763
2020-05-11 00:00:00+00:00,910164.8034942504
2020-05-12 00:00:00+00:00,921034.1517514214
2020-05-13 00:00:00+00:00,915883.2140538126
2020-05-14 00:00:00+00:00,905080.9422621075
2020-05-15 00:00:00+00:00,915081.9259723723
2020-05-16 00:00:00+00:00,917927.0648918073
2020-05-17 00:00:00+00:00,913491.7459947518
2020-05-18 00:00:00+00:00,910988.9935320969
2020-05-19 00:00:00+00:00,911628.045519545
2020-05-20 00:00:00+00:00,920011.0084421872
2020-05-21 00:00:00+00:00,933132.0765922752
2020-05-22 00:00:00+00:00,934314.7986703322
2020-05-23 00:00:00+00:00,935843.3128616348
2020-05-24 00:00:00+00:00,944157.4978050934
2020-05-25 00:00:00+00:00,943475.0448718738
2020-05-26 00:00:00+00:00,946898.3255273688
2020-05-27 00:00:00+00:00,939727.4947019938
2020-05-28 00:00:00+00:00,926855.9632047913
2020-05-29 00:00:00+00:00,932280.734497189
2020-05-30 00:00:00+00:00,932280.734497189
2020-05-31 00:00:00+00:00,932280.734497189
2020-06-01 00:00:00+00:00,932280.734497189
2020-06-02 00:00:00+00:00,926077.9604416386
2020-06-03 00:00:00+00:00,930189.4741824776
2020-06-04 00:00:00+00:00,934385.8506376352
2020-06-05 00:00:00+00:00,937123.0307769638
2020-06-06 00:00:00+00:00,937997.1399564226
2020-06-07 00:00:00+00:00,938591.0792723423
2020-06-08 00:00:00+00:00,939531.8607262577
2020-06-09 00:00:00+00:00,939509.9715760128
2020-06-10 00:00:00+00:00,939817.3784219836
2020-06-11 00:00:00+00:00,941448.4551393484
2020-06-12 00:00:00+00:00,946472.8259453775
2020-06-13 00:00:00+00:00,949125.6441887767
2020-06-14 00:00:00+00:00,947446.0182506011
2020-06-15 00:00:00+00:00,947725.1210274269
2020-06-16 00:00:00+00:00,951082.4260854558
2020-06-17 00:00:00+00:00,952891.0423385014
2020-06-18 00:00:00+00:00,956325.9060989791
2020-06-19 00:00:00+00:00,958018.1709280815
2020-06-20 00:00:00+00:00,960706.5904798433
2020-06-21 00:00:00+00:00,960230.3936559062
2020-06-22 00:00:00+00:00,962568.122788237
2020-06-23 00:00:00+00:00,964424.6177087891
2020-06-24 00:00:00+00:00,964662.7828608716
2020-06-25 00:00:00+00:00,967191.3897235154
2020-06-26 00:00:00+00:00,966413.9442746063
2020-06-27 00:00:00+00:00,966413.9442746063
2020-06-28 00:00:00+00:00,966413.9442746063
2020-06-29 00:00:00+00:00,966413.9442746063
2020-06-30 00:00:00+00:00,966413.9442746063
2020-07-01 00:00:00+00:00,966413.9442746063
2020-07-02 00:00:00+00:00,971339.7377078306
2020-07-03 00:00:00+00:00,972242.006350878
2020-07-04 00:00:00+00:00,971080.5020765676
2020-07-05 00:00:00+00:00,971918.4264322995
2020-07-06 00:00:00+00:00,970216.7671503292
2020-07-07 00:00:00+00:00,969992.9241061696
