start,end,dir,days
2020-11-12 16:00:00,2020-11-26 16:00:00,1.0,14
2020-12-01 16:00:00,2020-12-04 16:00:00,1.0,3
2020-12-08 16:00:00,2021-01-01 16:00:00,-1.0,24
2021-01-03 16:00:00,2021-03-25 16:00:00,1.0,81
2021-03-26 16:00:00,2021-05-21 16:00:00,1.0,56
2021-05-23 16:00:00,2021-06-03 16:00:00,-1.0,11
2021-06-07 16:00:00,2021-06-08 16:00:00,1.0,1
2021-06-09 16:00:00,2021-06-12 16:00:00,1.0,3
2021-06-14 16:00:00,2021-06-18 16:00:00,1.0,4
2021-06-20 16:00:00,2021-06-29 16:00:00,-1.0,9
2021-06-30 16:00:00,2021-07-03 16:00:00,-1.0,3
2021-07-05 16:00:00,2021-07-07 16:00:00,-1.0,2
2021-07-09 16:00:00,2021-07-26 16:00:00,-1.0,17
2021-07-27 16:00:00,2021-07-30 16:00:00,-1.0,3
2021-08-01 16:00:00,2021-09-28 16:00:00,1.0,58
2021-09-30 16:00:00,2021-10-11 16:00:00,1.0,11
2021-10-14 16:00:00,2021-11-17 16:00:00,1.0,34
2021-11-19 16:00:00,2021-11-20 16:00:00,1.0,1
2021-11-21 16:00:00,2021-11-24 16:00:00,1.0,3
2021-11-25 16:00:00,2021-11-26 16:00:00,1.0,1
2021-11-26 16:00:00,2021-11-30 16:00:00,-1.0,4
2021-12-01 16:00:00,2021-12-04 16:00:00,1.0,3
2021-12-05 16:00:00,2021-12-24 16:00:00,-1.0,19
2021-12-28 16:00:00,2022-02-07 16:00:00,-1.0,41
2022-02-08 16:00:00,2022-03-02 16:00:00,-1.0,22
2022-03-03 16:00:00,2022-03-19 16:00:00,-1.0,16
2022-03-20 16:00:00,2022-03-22 16:00:00,-1.0,2
2022-03-24 16:00:00,2022-04-09 16:00:00,1.0,16
2022-04-10 16:00:00,2022-04-11 16:00:00,1.0,1
2022-04-16 16:00:00,2022-04-21 16:00:00,-1.0,5
2022-04-22 16:00:00,2022-06-26 16:00:00,-1.0,65
2022-06-27 16:00:00,2022-07-07 16:00:00,-1.0,10
2022-07-10 16:00:00,2022-07-15 16:00:00,-1.0,5
2022-07-18 16:00:00,2022-07-25 16:00:00,1.0,7
2022-07-28 16:00:00,2022-08-04 16:00:00,1.0,7
2022-08-06 16:00:00,2022-08-09 16:00:00,1.0,3
2022-08-10 16:00:00,2022-08-17 16:00:00,1.0,7
2022-08-20 16:00:00,2022-09-11 16:00:00,-1.0,22
2022-09-13 16:00:00,2022-09-27 16:00:00,-1.0,14
2022-09-28 16:00:00,2022-09-29 16:00:00,-1.0,1
2022-10-01 16:00:00,2022-10-04 16:00:00,-1.0,3
