date,iv,n_trades,dte_bucket
2016-12-21 00:00:00+00:00,26.95,1,90d
2016-12-22 00:00:00+00:00,44.738,3,90d
2016-12-23 00:00:00+00:00,46.697547169811315,13,90d
2016-12-25 00:00:00+00:00,44.0525,3,90d
2016-12-26 00:00:00+00:00,46.2125,3,90d
2016-12-28 00:00:00+00:00,61.858410596026495,9,90d
2016-12-29 00:00:00+00:00,67.48872127872127,3,90d
2016-12-30 00:00:00+00:00,54.28,4,90d
2016-12-31 00:00:00+00:00,32.56,1,90d
2017-01-01 00:00:00+00:00,29.73,1,90d
2017-01-02 00:00:00+00:00,51.585,2,90d
2017-01-03 00:00:00+00:00,33.41380952380952,2,90d
2017-01-04 00:00:00+00:00,77.01166666666667,10,90d
2017-01-05 00:00:00+00:00,84.2182142857143,15,90d
2017-01-06 00:00:00+00:00,77.22,2,90d
2017-01-07 00:00:00+00:00,76.81,3,90d
2017-01-16 00:00:00+00:00,80.7025,4,60d
2017-01-17 00:00:00+00:00,72.61,1,60d
2017-01-22 00:00:00+00:00,68.58,1,60d
2017-01-24 00:00:00+00:00,84.0,1,60d
2017-01-26 00:00:00+00:00,63.00941176470588,3,60d
2017-01-27 00:00:00+00:00,62.99,1,60d
2017-01-29 00:00:00+00:00,88.09363636363635,3,60d
2017-01-30 00:00:00+00:00,70.64920792079208,3,60d
2017-01-31 00:00:00+00:00,86.58,1,60d
2017-02-02 00:00:00+00:00,79.47274900398406,26,60d
2017-02-03 00:00:00+00:00,82.545,2,60d
2017-02-04 00:00:00+00:00,94.47,1,60d
2017-02-06 00:00:00+00:00,75.59564516129032,8,60d
2017-02-07 00:00:00+00:00,85.37391304347827,3,60d
2017-02-08 00:00:00+00:00,92.66,1,60d
2017-02-09 00:00:00+00:00,67.01664122137404,24,60d
2017-02-10 00:00:00+00:00,88.78,1,60d
2017-02-10 00:00:00+00:00,48.76256756756756,3,7d
2017-02-11 00:00:00+00:00,83.71,1,7d
2017-02-14 00:00:00+00:00,72.32833333333333,2,7d
2017-02-17 00:00:00+00:00,77.90300745650373,16,7d
