run_dir,run_name,run_card,annual_return,annual_profit,final_value,period_profit,total_return,max_drawdown,sharpe,sortino,calmar,profit_factor,win_rate,trade_count,benchmark_return,excess_return,information_ratio,avg_holding_days,initial_cash,start_date,end_date,interval,source,engine,codes,strategy_hash,config_hash,config_path,signal_path,warnings,validation
agent/runs/20260630_044631_81_90164a,20260630_044631_81_90164a,agent/runs/20260630_044631_81_90164a/run_card.json,1.5497527201257828,1549752.7201257828,1077268.0831042535,77268.08310425351,0.0772680831042536,-0.1009896324954083,2.3070024121754447,2.0673,15.3457,1.5552,0.64,75,0.005468,0.0718,2.1006,11.3,1000000.0,2026-06-01,2026-06-29,15m,auto,,"SOXL.US,SOXS.US,SOXX.US,SMH.US,QQQ.US,TQQQ.US,SQQQ.US",f2f137e9037b440b68bdee5ec014826bed2001e2db0e3603af948788b985aff2,d3f60f0c57ae4fae9f6dad4ef23773a5b2252304173935e9f3ff88a8bf29e682,agent/runs/20260630_044631_81_90164a/config.json,agent/runs/20260630_044631_81_90164a/code/signal_engine.py,,"{'monte_carlo': {'actual_max_dd': -0.075, 'actual_sharpe': 2.2378, 'n_simulations': 1000, 'n_trades': 75, 'p_value_max_dd': 0.997, 'p_value_sharpe': 0.452, 'simulated_sharpe_mean': 2.2425, 'simulated_sharpe_p5': 1.9783, 'simulated_sharpe_p95': 2.5868, 'simulated_sharpe_std': 0.2264}}"
agent/runs/v_V_btcsol_extended_train,v_V_btcsol_extended_train,agent/runs/v_V_btcsol_extended_train/run_card.json,1.503210484295499,1503210.484295499,72325336.79075299,71325336.79075299,71.32533679075298,-0.473830305155406,1.6597452110327964,2.5503,3.1725,2.1358,0.3475609756097561,164,6.798972332015803,71.325337,1.6597,15.8,1000000.0,2020-11-01,2025-06-30,1D,okx,daily,"BTC-USDT,SOL-USDT",d30fcf0a3c7d7dfdd2063bad69fa8f6381843f2f02b7bc96b767fc7a023595d8,b2ebccb11e091f4d7e15b2d1c00c3004c276b637432a5d7576aff0ef3e85d828,agent/runs/v_V_btcsol_extended_train/config.json,agent/runs/v_V_btcsol_extended_train/code/signal_engine.py,,"{'bootstrap': {'ci_lower': 0.7828, 'ci_upper': 2.4851, 'confidence': 0.95, 'median_sharpe': 1.6568, 'n_bootstrap': 1000, 'observed_sharpe': 1.6607, 'prob_positive': 0.999}, 'monte_carlo': {'actual_max_dd': -0.3756, 'actual_sharpe': 3.0727, 'n_simulations': 1000, 'n_trades': 164, 'p_value_max_dd': 0.064, 'p_value_sharpe': 0.019, 'simulated_sharpe_mean': 0.584, 'simulated_sharpe_p5': -1.7057, 'simulated_sharpe_p95': 2.7036, 'simulated_sharpe_std': 1.5296}, 'walk_forward': {'consistency_rate': 0.8333, 'n_windows': 6, 'profitable_windows': 5, 'return_mean': 1.567614, 'return_std': 1.894421, 'sharpe_mean': 1.5672, 'sharpe_std': 1.0307, 'windows': [{'end': '2021-08-10', 'max_dd': -0.449907, 'return': 5.528778, 'sharpe': 2.7508, 'start': '2020-11-01', 'trades': 17, 'win_rate': 0.5294, 'window': 1}, {'end': '2022-05-20', 'max_dd': -0.32169, 'return': 1.784949, 'sharpe': 2.3783, 'start': '2021-08-11', 'trades': 28, 'win_rate': 0.4286, 'window': 2}, {'end': '2023-02-27', 'max_dd': -0.448694, 'return': -0.113969, 'sharpe': -0.0881, 'start': '2022-05-21', 'trades': 32, 'win_rate': 0.4062, 'window': 3}, {'end': '2023-12-07', 'max_dd': -0.353675, 'return': 1.420148, 'sharpe': 2.2214, 'start': '2023-02-28', 'trades': 37, 'win_rate': 0.2162, 'window': 4}, {'end': '2024-09-15', 'max_dd': -0.409547, 'return': 0.088331, 'sharpe': 0.4987, 'start': '2023-12-08', 'trades': 25, 'win_rate': 0.24, 'window': 5}, {'end': '2025-06-30', 'max_dd': -0.214541, 'return': 0.697444, 'sharpe': 1.6423, 'start': '2024-09-16', 'trades': 25, 'win_rate': 0.36, 'window': 6}]}}"
agent/runs/v_Rung1_naivebh_train,v_Rung1_naivebh_train,agent/runs/v_Rung1_naivebh_train/run_card.json,1.4895518761460678,1489551.8761460679,9766980.465037923,8766980.465037923,8.766980465037923,-0.5359343730035042,1.6253556927995798,2.8482,2.7794,0.0,1.0,2,5.4441996931170795,8.76698,1.6254,910.0,1000000.0,2023-01-01,2025-06-30,1D,auto,daily,"BTC-USDT,SOL-USDT",880755cad7ea30e28bd10dd92ce23b4bebb8a720cca0c42a767f98b029258dc6,6c1820f52d2220f159c5943a019e9ca1d47828b5f9fbd02a793b04928b7e104b,agent/runs/v_Rung1_naivebh_train/config.json,agent/runs/v_Rung1_naivebh_train/code/signal_engine.py,,"{'bootstrap': {'ci_lower': 0.3659, 'ci_upper': 2.8407, 'confidence': 0.95, 'median_sharpe': 1.564, 'n_bootstrap': 1000, 'observed_sharpe': 1.6271, 'prob_positive': 0.993}, 'monte_carlo': {'error': 'need at least 3 trades', 'p_value_sharpe': 1.0}, 'walk_forward': {'consistency_rate': 0.75, 'n_windows': 4, 'profitable_windows': 3, 'return_mean': 1.465778, 'return_std': 2.076294, 'sharpe_mean': 1.6667, 'sharpe_std': 1.6698, 'windows': [{'end': '2023-08-16', 'max_dd': -0.309446, 'return': 0.860129, 'sharpe': 1.7327, 'start': '2023-01-01', 'trades': 2, 'win_rate': 1.0, 'window': 1}, {'end': '2024-03-31', 'max_dd': -0.285094, 'return': 5.000993, 'sharpe': 4.3138, 'start': '2023-08-17', 'trades': 0, 'win_rate': 0.0, 'window': 2}, {'end': '2024-11-14', 'max_dd': -0.30764, 'return': 0.211055, 'sharpe': 0.7902, 'start': '2024-04-01', 'trades': 0, 'win_rate': 0.0, 'window': 3}, {'end': '2025-06-30', 'max_dd': -0.535934, 'return': -0.209065, 'sharpe': -0.17, 'start': '2024-11-15', 'trades': 0, 'win_rate': 0.0, 'window': 4}]}}"
agent/runs/20260630_143522_65_eb0647/audit_runs/trackA_1h_trend,trackA_1h_trend,agent/runs/20260630_143522_65_eb0647/audit_runs/trackA_1h_trend/run_card.json,1.31929984710511,1319299.84710511,2290719.0122278673,1290719.0122278673,1.2907190122278673,-0.3619900794732024,1.4908101748212228,1.2833,3.6446,1.5827,0.3559322033898305,59,8.719745538442092,-7.429027,-2.0939,15.5,1000000.0,2025-07-01,2026-06-29,1H,yfinance,,"SOXL.US,SOXX.US,SMH.US,QQQ.US",cb41c20f7bc596f005bb60a1d691a78e6750082c801f65d3d952f3fb9df35897,7c0b774f4256f33f76a74c63c62392e768c901c5c2c8e813ff610942aad9cb9c,agent/runs/20260630_143522_65_eb0647/audit_runs/trackA_1h_trend/config.json,agent/runs/20260630_143522_65_eb0647/audit_runs/trackA_1h_trend/code/signal_engine.py,,
agent/runs/v_ZA1_grossrecovery_ext_train,v_ZA1_grossrecovery_ext_train,agent/runs/v_ZA1_grossrecovery_ext_train/run_card.json,1.255274779960288,1255274.779960288,44457148.73572779,43457148.73572779,43.457148735727785,-0.4470081526022914,1.5654646005059176,2.3025,2.8082,2.1943,0.3475609756097561,164,46.884211,-3.427062,-0.1561,15.8,1000000.0,2020-11-01,2025-06-30,1D,okx,daily,"BTC-USDT,SOL-USDT",2f7757cca561d1bde56af4b825e9288841b49cc283b3cef0eb97164e6f473e85,d1debc0662cdf52dc67b38686a8a36c55c64f54ce2c02c7c75e530edc3ea16c6,agent/runs/v_ZA1_grossrecovery_ext_train/config.json,agent/runs/v_ZA1_grossrecovery_ext_train/code/signal_engine.py,,"{'bootstrap': {'ci_lower': 0.661, 'ci_upper': 2.3894, 'confidence': 0.95, 'median_sharpe': 1.5583, 'n_bootstrap': 1000, 'observed_sharpe': 1.5664, 'prob_positive': 0.999}, 'monte_carlo': {'actual_max_dd': -0.3347, 'actual_sharpe': 2.8289, 'n_simulations': 1000, 'n_trades': 164, 'p_value_max_dd': 0.066, 'p_value_sharpe': 0.059, 'simulated_sharpe_mean': 0.8106, 'simulated_sharpe_p5': -1.7215, 'simulated_sharpe_p95': 2.8685, 'simulated_sharpe_std': 1.5442}, 'walk_forward': {'consistency_rate': 0.8333, 'n_windows': 6, 'profitable_windows': 5, 'return_mean': 1.431949, 'return_std': 2.036171, 'sharpe_mean': 1.4367, 'sharpe_std': 1.0547, 'windows': [{'end': '2021-08-10', 'max_dd': -0.442865, 'return': 5.832819, 'sharpe': 2.7753, 'start': '2020-11-01', 'trades': 17, 'win_rate': 0.5294, 'window': 1}, {'end': '2022-05-20', 'max_dd': -0.281423, 'return': 0.771686, 'sharpe': 1.796, 'start': '2021-08-11', 'trades': 28, 'win_rate': 0.4286, 'window': 2}, {'end': '2023-02-27', 'max_dd': -0.399422, 'return': -0.129169, 'sharpe': -0.2847, 'start': '2022-05-21', 'trades': 32, 'win_rate': 0.4062, 'window': 3}, {'end': '2023-12-07', 'max_dd': -0.344968, 'return': 1.506633, 'sharpe': 2.3935, 'start': '2023-02-28', 'trades': 37, 'win_rate': 0.2162, 'window': 4}, {'end': '2024-09-15', 'max_dd': -0.391361, 'return': 0.093876, 'sharpe': 0.5014, 'start': '2023-12-08', 'trades': 25, 'win_rate': 0.24, 'window': 5}, {'end': '2025-06-30', 'max_dd': -0.195841, 'return': 0.515847, 'sharpe': 1.4389, 'start': '2024-09-16', 'trades': 25, 'win_rate': 0.36, 'window': 6}]}}"
agent/runs/v_ZA4_regimeconviction_ext_train,v_ZA4_regimeconviction_ext_train,agent/runs/v_ZA4_regimeconviction_ext_train/run_card.json,1.2007654809208677,1200765.4809208678,39661096.75321917,38661096.75321917,38.66109675321917,-0.43531678444488836,1.559788120290648,2.2416,2.7584,2.1863,0.35119047619047616,168,46.884211,-8.223114,-0.2044,15.8,1000000.0,2020-11-01,2025-06-30,1D,okx,daily,"BTC-USDT,SOL-USDT",37cb3973f3023773eb5cd450520d141d0ce26d10d40b44991c7a5bcdfb3d8101,d1debc0662cdf52dc67b38686a8a36c55c64f54ce2c02c7c75e530edc3ea16c6,agent/runs/v_ZA4_regimeconviction_ext_train/config.json,agent/runs/v_ZA4_regimeconviction_ext_train/code/signal_engine.py,,"{'bootstrap': {'ci_lower': 0.6743, 'ci_upper': 2.3446, 'confidence': 0.95, 'median_sharpe': 1.5538, 'n_bootstrap': 1000, 'observed_sharpe': 1.5607, 'prob_positive': 0.999}, 'monte_carlo': {'actual_max_dd': -0.3323, 'actual_sharpe': 2.7252, 'n_simulations': 1000, 'n_trades': 168, 'p_value_max_dd': 0.06, 'p_value_sharpe': 0.069, 'simulated_sharpe_mean': 0.8488, 'simulated_sharpe_p5': -1.7123, 'simulated_sharpe_p95': 2.8228, 'simulated_sharpe_std': 1.548}, 'walk_forward': {'consistency_rate': 0.8333, 'n_windows': 6, 'profitable_windows': 5, 'return_mean': 1.429351, 'return_std': 2.117964, 'sharpe_mean': 1.3856, 'sharpe_std': 1.1118, 'windows': [{'end': '2021-08-10', 'max_dd': -0.435317, 'return': 6.014088, 'sharpe': 2.8069, 'start': '2020-11-01', 'trades': 17, 'win_rate': 0.5294, 'window': 1}, {'end': '2022-05-20', 'max_dd': -0.251425, 'return': 0.750501, 'sharpe': 1.8671, 'start': '2021-08-11', 'trades': 28, 'win_rate': 0.4286, 'window': 2}, {'end': '2023-02-27', 'max_dd': -0.33714, 'return': -0.131801, 'sharpe': -0.4242, 'start': '2022-05-21', 'trades': 32, 'win_rate': 0.4062, 'window': 3}, {'end': '2023-12-07', 'max_dd': -0.339797, 'return': 1.526482, 'sharpe': 2.4516, 'start': '2023-02-28', 'trades': 36, 'win_rate': 0.2222, 'window': 4}, {'end': '2024-09-15', 'max_dd': -0.35812, 'return': 0.153618, 'sharpe': 0.605, 'start': '2023-12-08', 'trades': 27, 'win_rate': 0.2593, 'window': 5}, {'end': '2025-06-30', 'max_dd': -0.17938, 'return': 0.263219, 'sharpe': 1.0069, 'start': '2024-09-16', 'trades': 28, 'win_rate': 0.3571, 'window': 6}]}}"
agent/runs/v_X1_singlevol_train,v_X1_singlevol_train,agent/runs/v_X1_singlevol_train/run_card.json,1.1936349498408836,1193634.9498408835,7119402.449800025,6119402.449800025,6.119402449800025,-0.4799071423764092,1.5442848795142223,2.6591,2.4872,2.268,0.2872340425531915,94,5.4441996931170795,6.119402,1.5443,14.0,1000000.0,2023-01-01,2025-06-30,1D,auto,daily,"BTC-USDT,SOL-USDT",80a10be874bf9dbd53d91a23db2aa309f6ebcc577b0656b4fec31da6aeb89dff,90553bb221f20d5613eabe21ac6577d3efde31682e4173872a139389587d9771,agent/runs/v_X1_singlevol_train/config.json,agent/runs/v_X1_singlevol_train/code/signal_engine.py,,"{'bootstrap': {'ci_lower': 0.2562, 'ci_upper': 2.5642, 'confidence': 0.95, 'median_sharpe': 1.5451, 'n_bootstrap': 1000, 'observed_sharpe': 1.546, 'prob_positive': 0.996}, 'monte_carlo': {'actual_max_dd': -0.39, 'actual_sharpe': 2.4683, 'n_simulations': 1000, 'n_trades': 94, 'p_value_max_dd': 0.337, 'p_value_sharpe': 0.659, 'simulated_sharpe_mean': 2.4516, 'simulated_sharpe_p5': -1.4374, 'simulated_sharpe_p95': 3.5494, 'simulated_sharpe_std': 1.3072}, 'walk_forward': {'consistency_rate': 0.75, 'n_windows': 4, 'profitable_windows': 3, 'return_mean': 1.188143, 'return_std': 1.827885, 'sharpe_mean': 1.3845, 'sharpe_std': 1.4903, 'windows': [{'end': '2023-08-16', 'max_dd': -0.315603, 'return': 0.24402, 'sharpe': 0.8476, 'start': '2023-01-01', 'trades': 37, 'win_rate': 0.2703, 'window': 1}, {'end': '2024-03-31', 'max_dd': -0.354751, 'return': 4.332935, 'sharpe': 3.7405, 'start': '2023-08-17', 'trades': 13, 'win_rate': 0.3846, 'window': 2}, {'end': '2024-11-14', 'max_dd': -0.45583, 'return': -0.196879, 'sharpe': -0.3588, 'start': '2024-04-01', 'trades': 25, 'win_rate': 0.24, 'window': 3}, {'end': '2025-06-30', 'max_dd': -0.232258, 'return': 0.372497, 'sharpe': 1.3087, 'start': '2024-11-15', 'trades': 19, 'win_rate': 0.3158, 'window': 4}]}}"
agent/runs/v_Rung3_signalonly_train,v_Rung3_signalonly_train,agent/runs/v_Rung3_signalonly_train/run_card.json,1.1559839201580977,1155983.9201580978,6817996.0452700155,5817996.0452700155,5.817996045270015,-0.4084118111047415,1.6135666130217936,2.7601,2.8304,2.3752,0.28846153846153844,104,5.4441996931170795,5.817996,1.6136,13.8,1000000.0,2023-01-01,2025-06-30,1D,auto,daily,"BTC-USDT,SOL-USDT",13ebe14024d5cc104ce421d620334b36b5fa65d2e18126e0c89afd8e80e12952,6c1820f52d2220f159c5943a019e9ca1d47828b5f9fbd02a793b04928b7e104b,agent/runs/v_Rung3_signalonly_train/config.json,agent/runs/v_Rung3_signalonly_train/code/signal_engine.py,,"{'bootstrap': {'ci_lower': 0.3647, 'ci_upper': 2.7202, 'confidence': 0.95, 'median_sharpe': 1.5995, 'n_bootstrap': 1000, 'observed_sharpe': 1.6153, 'prob_positive': 0.994}, 'monte_carlo': {'actual_max_dd': -0.3129, 'actual_sharpe': 2.293, 'n_simulations': 1000, 'n_trades': 104, 'p_value_max_dd': 0.257, 'p_value_sharpe': 0.722, 'simulated_sharpe_mean': 2.4544, 'simulated_sharpe_p5': -0.6244, 'simulated_sharpe_p95': 3.4511, 'simulated_sharpe_std': 1.1664}, 'walk_forward': {'consistency_rate': 0.75, 'n_windows': 4, 'profitable_windows': 3, 'return_mean': 1.202133, 'return_std': 1.931231, 'sharpe_mean': 1.3359, 'sharpe_std': 1.4701, 'windows': [{'end': '2023-08-16', 'max_dd': -0.357532, 'return': 0.131333, 'sharpe': 0.6229, 'start': '2023-01-01', 'trades': 38, 'win_rate': 0.2632, 'window': 1}, {'end': '2024-03-31', 'max_dd': -0.364733, 'return': 4.541951, 'sharpe': 3.79, 'start': '2023-08-17', 'trades': 15, 'win_rate': 0.3333, 'window': 2}, {'end': '2024-11-14', 'max_dd': -0.372771, 'return': -0.079661, 'sharpe': -0.0817, 'start': '2024-04-01', 'trades': 29, 'win_rate': 0.2759, 'window': 3}, {'end': '2025-06-30', 'max_dd': -0.202153, 'return': 0.214908, 'sharpe': 1.0123, 'start': '2024-11-15', 'trades': 22, 'win_rate': 0.3182, 'window': 4}]}}"
agent/runs/v_Z0_extended_control_train,v_Z0_extended_control_train,agent/runs/v_Z0_extended_control_train/run_card.json,1.1315718153285035,1131571.8153285035,34169058.061935544,33169058.061935544,33.169058061935544,-0.44408738893611654,1.5144576868528041,2.1757,2.5481,2.1923,0.3475609756097561,164,46.884211,-13.715152,-0.238,15.8,1000000.0,2020-11-01,2025-06-30,1D,okx,daily,"BTC-USDT,SOL-USDT",c7c24b1a1af26d49f04dea2478614cfbe73b5b776a84e292576afc160192278b,d1debc0662cdf52dc67b38686a8a36c55c64f54ce2c02c7c75e530edc3ea16c6,agent/runs/v_Z0_extended_control_train/config.json,agent/runs/v_Z0_extended_control_train/code/signal_engine.py,,"{'bootstrap': {'ci_lower': 0.6188, 'ci_upper': 2.3344, 'confidence': 0.95, 'median_sharpe': 1.5054, 'n_bootstrap': 1000, 'observed_sharpe': 1.5154, 'prob_positive': 0.999}, 'monte_carlo': {'actual_max_dd': -0.3352, 'actual_sharpe': 2.6972, 'n_simulations': 1000, 'n_trades': 164, 'p_value_max_dd': 0.083, 'p_value_sharpe': 0.088, 'simulated_sharpe_mean': 0.9354, 'simulated_sharpe_p5': -1.7353, 'simulated_sharpe_p95': 2.8485, 'simulated_sharpe_std': 1.5439}, 'walk_forward': {'consistency_rate': 0.8333, 'n_windows': 6, 'profitable_windows': 5, 'return_mean': 1.255296, 'return_std': 1.737101, 'sharpe_mean': 1.3653, 'sharpe_std': 1.0642, 'windows': [{'end': '2021-08-10', 'max_dd': -0.441206, 'return': 4.953394, 'sharpe': 2.6865, 'start': '2020-11-01', 'trades': 17, 'win_rate': 0.5294, 'window': 1}, {'end': '2022-05-20', 'max_dd': -0.276288, 'return': 0.673508, 'sharpe': 1.6768, 'start': '2021-08-11', 'trades': 28, 'win_rate': 0.4286, 'window': 2}, {'end': '2023-02-27', 'max_dd': -0.385858, 'return': -0.136368, 'sharpe': -0.372, 'start': '2022-05-21', 'trades': 32, 'win_rate': 0.4062, 'window': 3}, {'end': '2023-12-07', 'max_dd': -0.335286, 'return': 1.543768, 'sharpe': 2.4526, 'start': '2023-02-28', 'trades': 37, 'win_rate': 0.2162, 'window': 4}, {'end': '2024-09-15', 'max_dd': -0.388146, 'return': 0.099653, 'sharpe': 0.5071, 'start': '2023-12-08', 'trades': 25, 'win_rate': 0.24, 'window': 5}, {'end': '2025-06-30', 'max_dd': -0.195841, 'return': 0.397821, 'sharpe': 1.2406, 'start': '2024-09-16', 'trades': 25, 'win_rate': 0.36, 'window': 6}]}}"
agent/runs/v_ZA3_grossvol_ext_train,v_ZA3_grossvol_ext_train,agent/runs/v_ZA3_grossvol_ext_train/run_card.json,1.1297840035717175,1129784.0035717175,34035549.54886325,33035549.548863247,33.035549548863244,-0.46293434726884014,1.5179984003590485,2.2477,2.4405,2.2257,0.3333333333333333,177,46.884211,-13.848661,-0.2448,15.3,1000000.0,2020-11-01,2025-06-30,1D,okx,daily,"BTC-USDT,SOL-USDT",6bee5558d3e27a897a9c2e0d6ee3f2e1f140da60c23e3508e1c302429e6f7415,d1debc0662cdf52dc67b38686a8a36c55c64f54ce2c02c7c75e530edc3ea16c6,agent/runs/v_ZA3_grossvol_ext_train/config.json,agent/runs/v_ZA3_grossvol_ext_train/code/signal_engine.py,,"{'bootstrap': {'ci_lower': 0.6453, 'ci_upper': 2.2865, 'confidence': 0.95, 'median_sharpe': 1.5178, 'n_bootstrap': 1000, 'observed_sharpe': 1.5189, 'prob_positive': 0.999}, 'monte_carlo': {'actual_max_dd': -0.328, 'actual_sharpe': 2.5968, 'n_simulations': 1000, 'n_trades': 177, 'p_value_max_dd': 0.082, 'p_value_sharpe': 0.086, 'simulated_sharpe_mean': 0.8995, 'simulated_sharpe_p5': -1.6613, 'simulated_sharpe_p95': 2.7813, 'simulated_sharpe_std': 1.5162}, 'walk_forward': {'consistency_rate': 0.8333, 'n_windows': 6, 'profitable_windows': 5, 'return_mean': 1.224587, 'return_std': 1.640466, 'sharpe_mean': 1.4277, 'sharpe_std': 0.9727, 'windows': [{'end': '2021-08-10', 'max_dd': -0.462934, 'return': 4.734286, 'sharpe': 2.7121, 'start': '2020-11-01', 'trades': 23, 'win_rate': 0.4348, 'window': 1}, {'end': '2022-05-20', 'max_dd': -0.278713, 'return': 0.543128, 'sharpe': 1.5326, 'start': '2021-08-11', 'trades': 31, 'win_rate': 0.3871, 'window': 2}, {'end': '2023-02-27', 'max_dd': -0.375627, 'return': -0.070135, 'sharpe': -0.0489, 'start': '2022-05-21', 'trades': 32, 'win_rate': 0.4062, 'window': 3}, {'end': '2023-12-07', 'max_dd': -0.368547, 'return': 1.379883, 'sharpe': 2.2296, 'start': '2023-02-28', 'trades': 37, 'win_rate': 0.2162, 'window': 4}, {'end': '2024-09-15', 'max_dd': -0.411652, 'return': 0.035272, 'sharpe': 0.3858, 'start': '2023-12-08', 'trades': 27, 'win_rate': 0.2222, 'window': 5}, {'end': '2025-06-30', 'max_dd': -0.195111, 'return': 0.725088, 'sharpe': 1.755, 'start': '2024-09-16', 'trades': 27, 'win_rate': 0.3704, 'window': 6}]}}"
